scale,metric,pairs,lower,higher,tied,q25_pp,median_pp,q75_pp,minimum_pp,maximum_pp
Profiled,path_rel,1176,411,627,138,-0.000718429007725,2.59303385867e-05,0.00614639273475,-0.190366349023,0.349454420826
Profiled,procrustes,1176,432,614,130,-0.00295610909228,0.000105511713329,0.0271321122579,-1.83244289809,9.93981628555
Fixed,path_rel,1176,389,541,246,-0.000313382803967,6.53936363445e-10,0.00717603796657,-0.356606745588,0.470026220042
Fixed,procrustes,1176,397,567,212,-0.00436281259109,2.04141537008e-08,0.0412305312705,-1.95224547924,9.37970924451
