"n","k","method","alignment","path_rel","edge_rel","stress1","coordinate_rmse","coordinate_relative_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","surface_area","reference_area","zero_area_faces","sample_size","surface_seed","subdivisions"
500,3,"Original saddle","rigid",0,4.72903347294826e-17,0.285562587651482,2.87678620804604e-16,3.08995697265083e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594232,6.84589644493833,6.35828279568902,0,2000,1901,2
500,3,"Original saddle","rigid",0,4.72903347294826e-17,0.285562587651482,2.87678620804604e-16,3.08995697265083e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239662,6.84589644493833,6.35828279568902,0,8000,1901,2
500,3,"Original saddle","similarity",0,4.72903347294826e-17,0.285562587651482,3.21169947754847e-16,3.44968742096775e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594235,6.84589644493833,6.35828279568902,0,2000,1901,2
500,3,"Original saddle","similarity",0,4.72903347294826e-17,0.285562587651482,3.21169947754847e-16,3.44968742096775e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239665,6.84589644493833,6.35828279568902,0,8000,1901,2
500,3,"Metric MDS","rigid",0.144189876818267,0.38737301297187,0.0884988372637809,1.20105429319231,1.29005279481734,1,0.74744198858416,0.00699094831028849,0.986157900111017,0.380567534934231,28.0275093162023,6.35828279568902,0,2000,1901,2
500,3,"Metric MDS","rigid",0.144189876818267,0.38737301297187,0.0884988372637809,1.20105429319231,1.29005279481734,1,0.746844992465071,0.00341870547858888,0.986718997845803,0.376749923464465,28.0275093162023,6.35828279568902,0,8000,1901,2
500,3,"Metric MDS","similarity",0.144189876818267,0.38737301297187,0.0884988372637809,0.549825805013055,0.590568070436278,0.413008535865622,0.297498008479805,0.00298126951154533,0.262659938914203,0.328663789591258,4.78082185005539,6.35828279568902,0,2000,1901,2
500,3,"Metric MDS","similarity",0.144189876818267,0.38737301297187,0.0884988372637809,0.549825805013055,0.590568070436278,0.413008535865622,0.297104520851506,0.00147478348665158,0.261262220708117,0.329065714791847,4.78082185005539,6.35828279568902,0,8000,1901,2
500,3,"MDS + edge-KK","rigid",0.000239567280154821,0.0018677321650009,0.0859768006323411,1.19687033989195,1.2855588092589,1,0.75670764629724,0.00762839122667996,1.00913263387444,0.356180082513123,40.8287300825973,6.35828279568902,0,2000,1901,2
500,3,"MDS + edge-KK","rigid",0.000239567280154821,0.0018677321650009,0.0859768006323411,1.19687033989195,1.2855588092589,1,0.755860633973602,0.00384087478046226,1.00920915267874,0.352345685558101,40.8287300825973,6.35828279568902,0,8000,1901,2
500,3,"MDS + edge-KK","similarity",0.000239567280154821,0.0018677321650009,0.0859768006323411,0.548905658327283,0.589579740591116,0.414188858049217,0.294577170776272,0.00311325354213436,0.274180948622152,0.313649846959572,7.00426704830312,6.35828279568902,0,2000,1901,2
500,3,"MDS + edge-KK","similarity",0.000239567280154821,0.0018677321650009,0.0859768006323411,0.548905658327283,0.589579740591116,0.414188858049217,0.294296422668246,0.00157013068263431,0.273154036863037,0.314018535975315,7.00426704830312,6.35828279568902,0,8000,1901,2
500,4,"Original saddle","rigid",0,4.49001482551004e-17,0.13817106776527,2.87678620804604e-16,3.08995697265083e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594232,6.84589644493833,6.35828279568902,0,2000,1901,2
500,4,"Original saddle","rigid",0,4.49001482551004e-17,0.13817106776527,2.87678620804604e-16,3.08995697265083e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239662,6.84589644493833,6.35828279568902,0,8000,1901,2
500,4,"Original saddle","similarity",0,4.49001482551004e-17,0.13817106776527,3.21169947754847e-16,3.44968742096775e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594235,6.84589644493833,6.35828279568902,0,2000,1901,2
500,4,"Original saddle","similarity",0,4.49001482551004e-17,0.13817106776527,3.21169947754847e-16,3.44968742096775e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239665,6.84589644493833,6.35828279568902,0,8000,1901,2
500,4,"Metric MDS","rigid",0.0715831077392405,0.337475982539567,0.0581128824907407,0.580755023059011,0.623789153286453,1,0.352271775891842,0.00324503309772783,0.40904603747603,0.284380286597265,11.9696187878584,6.35828279568902,0,2000,1901,2
500,4,"Metric MDS","rigid",0.0715831077392405,0.337475982539567,0.0581128824907407,0.580755023059011,0.623789153286453,1,0.345605041184506,0.00161608287710456,0.40027321850341,0.280476450942338,11.9696187878584,6.35828279568902,0,8000,1901,2
500,4,"Metric MDS","similarity",0.0715831077392405,0.337475982539567,0.0581128824907407,0.417129119851976,0.448038519086813,0.673185537343686,0.262966120095906,0.00261590264526114,0.224625869687024,0.296387549171582,5.42437709198528,6.35828279568902,0,2000,1901,2
500,4,"Metric MDS","similarity",0.0715831077392405,0.337475982539567,0.0581128824907407,0.417129119851976,0.448038519086813,0.673185537343686,0.258911636227359,0.00132109351007764,0.21989206078406,0.292776283793608,5.42437709198528,6.35828279568902,0,8000,1901,2
500,4,"MDS + edge-KK","rigid",0.000688416670279626,0.00486650466568629,0.0595745122148691,0.576171832734936,0.61886634711502,1,0.36793255236045,0.00364723003313847,0.439297145124411,0.278866893801492,14.427944563925,6.35828279568902,0,2000,1901,2
500,4,"MDS + edge-KK","rigid",0.000688416670279626,0.00486650466568629,0.0595745122148691,0.576171832734936,0.61886634711502,1,0.362769935243827,0.00178710305824295,0.433305345615051,0.274682597364743,14.427944563925,6.35828279568902,0,8000,1901,2
500,4,"MDS + edge-KK","similarity",0.000688416670279626,0.00486650466568629,0.0595745122148691,0.414847090259637,0.445587390382525,0.675798607896519,0.254772444418135,0.00263947817247813,0.223164183961059,0.282870542592504,6.58929650883454,6.35828279568902,0,2000,1901,2
500,4,"MDS + edge-KK","similarity",0.000688416670279626,0.00486650466568629,0.0595745122148691,0.414847090259637,0.445587390382525,0.675798607896519,0.251631432146808,0.00132583592506219,0.220866491887773,0.279024636994111,6.58929650883454,6.35828279568902,0,8000,1901,2
500,5,"Original saddle","rigid",0,4.71306365549031e-17,0.0792836612939248,2.87678620804604e-16,3.08995697265083e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594232,6.84589644493833,6.35828279568902,0,2000,1901,2
500,5,"Original saddle","rigid",0,4.71306365549031e-17,0.0792836612939248,2.87678620804604e-16,3.08995697265083e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239662,6.84589644493833,6.35828279568902,0,8000,1901,2
500,5,"Original saddle","similarity",0,4.71306365549031e-17,0.0792836612939248,3.21169947754847e-16,3.44968742096775e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594235,6.84589644493833,6.35828279568902,0,2000,1901,2
500,5,"Original saddle","similarity",0,4.71306365549031e-17,0.0792836612939248,3.21169947754847e-16,3.44968742096775e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239665,6.84589644493833,6.35828279568902,0,8000,1901,2
500,5,"Metric MDS","rigid",0.054784631361581,0.266453425952237,0.0464625223625807,0.304343252693439,0.326895183628562,1,0.23632386965545,0.0022627592603857,0.270155031659044,0.196759247831336,10.3139011745388,6.35828279568902,0,2000,1901,2
500,5,"Metric MDS","rigid",0.054784631361581,0.266453425952237,0.0464625223625807,0.304343252693439,0.326895183628562,1,0.232907430244973,0.00114030688624084,0.266490211739037,0.193583855664457,10.3139011745388,6.35828279568902,0,8000,1901,2
500,5,"Metric MDS","similarity",0.054784631361581,0.266453425952237,0.0464625223625807,0.219192255767503,0.235434470995983,0.810804175931546,0.183875545157062,0.0017662170146045,0.185125452976299,0.182617082645446,6.78039382016132,6.35828279568902,0,2000,1901,2
500,5,"Metric MDS","similarity",0.054784631361581,0.266453425952237,0.0464625223625807,0.219192255767503,0.235434470995983,0.810804175931546,0.181076258287585,0.000888786611556877,0.182515392448413,0.179625594363015,6.78039382016132,6.35828279568902,0,8000,1901,2
500,5,"MDS + edge-KK","rigid",0.000726837311748711,0.00360568125094994,0.048132652541949,0.296346831618101,0.318306225231555,1,0.231609936233627,0.00229921609751873,0.269941618349498,0.185520478134205,10.5943728935505,6.35828279568902,0,2000,1901,2
500,5,"MDS + edge-KK","rigid",0.000726837311748711,0.00360568125094994,0.048132652541949,0.296346831618101,0.318306225231555,1,0.231188959189045,0.00114146564694919,0.271083586358815,0.182785007341058,10.5943728935505,6.35828279568902,0,8000,1901,2
500,5,"MDS + edge-KK","similarity",0.000726837311748711,0.00360568125094994,0.048132652541949,0.21188979873507,0.227590899596156,0.813980241123237,0.178017145141371,0.00178920401500418,0.185618492795589,0.170076403598093,7.0194483119363,6.35828279568902,0,2000,1901,2
500,5,"MDS + edge-KK","similarity",0.000726837311748711,0.00360568125094994,0.048132652541949,0.21188979873507,0.227590899596156,0.813980241123237,0.177522665495771,0.000890657425977485,0.18642530649808,0.168149334303004,7.0194483119363,6.35828279568902,0,8000,1901,2
500,6,"Original saddle","rigid",0,2.18987229243836e-16,0.0700330670070394,2.87678620804604e-16,3.08995697265083e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594232,6.84589644493833,6.35828279568902,0,2000,1901,2
500,6,"Original saddle","rigid",0,2.18987229243836e-16,0.0700330670070394,2.87678620804604e-16,3.08995697265083e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239662,6.84589644493833,6.35828279568902,0,8000,1901,2
500,6,"Original saddle","similarity",0,2.18987229243836e-16,0.0700330670070394,3.21169947754847e-16,3.44968742096775e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594235,6.84589644493833,6.35828279568902,0,2000,1901,2
500,6,"Original saddle","similarity",0,2.18987229243836e-16,0.0700330670070394,3.21169947754847e-16,3.44968742096775e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239665,6.84589644493833,6.35828279568902,0,8000,1901,2
500,6,"Metric MDS","rigid",0.0469245765868838,0.232124032036634,0.042493780806412,0.36481023820315,0.391842791820071,1,0.270470028727128,0.00255300080141823,0.295725199168734,0.242599833998127,9.42926837130818,6.35828279568902,0,2000,1901,2
