"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep1-n240-r4","ambient",239,6.03800000000001,0.0099999999999909,0.468999999999994
"paraboloid-disk-rep1-n240-r4","ambient",32,1.31999999999999,0.0139999999999816,0.367000000000019
"paraboloid-disk-rep1-n240-r4","ambient",4,0.516999999999996,0.0149999999999864,1.077
"paraboloid-disk-rep1-n240-r4","ambient",64,2.08700000000002,0.0139999999999816,0.418000000000006
"paraboloid-disk-rep1-n240-r4","ambient",8,0.594999999999999,0.0139999999999816,0.402999999999992
"paraboloid-disk-rep1-n240-r4","geodesic",128,4.117,0.0139999999999958,0.468000000000004
"paraboloid-disk-rep1-n240-r4","geodesic",16,0.826,0.016,0.484999999999999
"paraboloid-disk-rep1-n240-r4","geodesic",239,6,0.0160000000000053,0.423999999999992
"paraboloid-disk-rep1-n240-r4","geodesic",32,1.292,0.0139999999999993,0.581
"paraboloid-disk-rep1-n240-r4","geodesic",4,0.664,0.0150000000000001,2.209
"paraboloid-disk-rep1-n240-r4","geodesic",64,2.299,0.0159999999999982,0.43
"paraboloid-disk-rep1-n240-r4","geodesic",8,0.612,0.0139999999999993,0.425999999999999
"paraboloid-disk-rep1-n240-r64","ambient",128,3.703,0.012999999999991,1.664
"paraboloid-disk-rep1-n240-r64","ambient",16,0.798000000000002,0.012999999999991,1.845
"paraboloid-disk-rep1-n240-r64","ambient",239,5.94200000000001,0.0099999999999909,1.405
"paraboloid-disk-rep1-n240-r64","ambient",32,1.18100000000001,0.0130000000000052,1.64400000000001
"paraboloid-disk-rep1-n240-r64","ambient",4,0.617999999999995,0.0139999999999958,1.813
"paraboloid-disk-rep1-n240-r64","ambient",64,2.01299999999999,0.0139999999999958,1.76900000000001
"paraboloid-disk-rep1-n240-r64","ambient",8,0.638999999999996,0.0139999999999958,2.03
"paraboloid-disk-rep1-n240-r64","geodesic",128,3.799,0.0140000000000029,1.59
"paraboloid-disk-rep1-n240-r64","geodesic",16,0.813,0.0139999999999993,1.692
"paraboloid-disk-rep1-n240-r64","geodesic",239,6.492,0.0150000000000006,1.417
"paraboloid-disk-rep1-n240-r64","geodesic",32,1.279,0.0139999999999993,1.416
"paraboloid-disk-rep1-n240-r64","geodesic",4,0.786,0.014,3.583
"paraboloid-disk-rep1-n240-r64","geodesic",64,2.013,0.0139999999999993,1.648
"paraboloid-disk-rep1-n240-r64","geodesic",8,0.787,0.016,2.932
"paraboloid-disk-rep1-n240-r8","ambient",128,3.996,0.0139999999999958,0.832999999999998
