"case","regime","k","components_before","bridges","edges","route_strict_max","degree_min","degree_q05","degree_median","degree_q95","degree_max","length_min","length_q05","length_median","length_q95","length_max","base_separation_min","base_separation_q05","base_separation_median","base_separation_q95","base_separation_max"
"paraboloid-disk-rep1-n240-r1","ambient",128,1,0,18075,2.22044604925031e-16,128,128,141,196.2,219,0.0143595049640729,0.23037332852779,0.762838000544264,1.23292390544364,1.43220877149171,0.0143143434671021,0.185021531465535,0.651175626658241,1.08847484806626,1.4243461668176
"paraboloid-disk-rep1-n240-r1","ambient",16,1,0,2188,4.44089209850063e-16,16,16,18,21.05,26,0.0143595049640729,0.0807653162182651,0.254126162844515,0.443349551961587,0.609958394581976,0.0143143434671021,0.0646549738351436,0.209092367005693,0.373006224787424,0.604549455213543
"paraboloid-disk-rep1-n240-r1","ambient",239,1,0,28680,0,239,239,239,239,239,0.0143595049640729,0.291096412132822,1.00170732314235,1.65488817226517,1.98848845063717,0.0143143434671021,0.238866905851992,0.878730557188106,1.62124282910863,1.9884200901266
"paraboloid-disk-rep1-n240-r1","ambient",32,1,0,4441,4.44089209850063e-16,32,32,37,45,50,0.0143595049640729,0.114219714531332,0.361532103641276,0.645073846916308,0.8627744689566,0.0143143434671021,0.09128312912816,0.29893968121533,0.543696412139505,0.81425079447049
"paraboloid-disk-rep1-n240-r1","ambient",4,1,0,585,8.88178419700125e-16,4,4,5,7,8,0.0143595049640729,0.0457014507467058,0.1361693107627,0.251614686025766,0.363026470500086,0.0143143434671021,0.0339452051671782,0.110184025254294,0.212198141733706,0.346129034738711
"paraboloid-disk-rep1-n240-r1","ambient",64,1,0,9034,4.44089209850063e-16,64,64,74.5,91.05,104,0.0143595049640729,0.166471648222503,0.523378027926197,0.898660680522428,1.08269357283487,0.0143143434671021,0.132128830540089,0.437002979146277,0.764576973261405,1.0331343836676
"paraboloid-disk-rep1-n240-r1","ambient",8,1,0,1131,4.44089209850063e-16,8,8,9,12,14,0.0143595049640729,0.0609348737797676,0.183659451943807,0.312543973990941,0.508053742141384,0.0143143434671021,0.0488084631994634,0.150081065364003,0.278995208734343,0.428603071593451
"paraboloid-disk-rep1-n240-r1","geodesic",128,1,0,17894,1.79487638085618e-08,128,128,139,198.15,230,0.0143597923011662,0.229861438218516,0.783662802541354,1.30414194198265,1.55443918541745,0.0143143434671021,0.184298368451144,0.646966068904849,1.08229214196108,1.40037195160326
"paraboloid-disk-rep1-n240-r1","geodesic",16,1,0,2191,1.45839374743328e-08,16,16,18,21.05,26,0.0143597923011662,0.080781622820753,0.255325680083583,0.445199628046054,0.617279122572277,0.0143143434671021,0.0646663282318801,0.209347593999406,0.372346663683456,0.576496555886042
"paraboloid-disk-rep1-n240-r1","geodesic",239,1,0,28680,2.27277183739716e-08,239,239,239,239,239,0.0143597923011662,0.292869909720971,1.05651969298216,2.03910810786949,2.77642157858994,0.0143143434671021,0.238866905851992,0.878730557188106,1.62124282910863,1.9884200901266
"paraboloid-disk-rep1-n240-r1","geodesic",32,1,0,4426,1.45839375020884e-08,32,32,36,45,51,0.0143597923011662,0.1142156357321,0.363524658716437,0.650071080544134,0.87397181829933,0.0143143434671021,0.0911224028838883,0.298593528613462,0.54092681329171,0.81425079447049
"paraboloid-disk-rep1-n240-r1","geodesic",4,1,0,585,6.66133814775094e-16,4,4,5,7,8,0.0143597923011662,0.0457027786301657,0.136294470676631,0.251975677744018,0.364456877304637,0.0143143434671021,0.0339452051671782,0.110184025254294,0.212198141733706,0.346129034738711
"paraboloid-disk-rep1-n240-r1","geodesic",64,1,0,8982,1.45839376131107e-08,64,64,74,90.05,105,0.0143597923011662,0.16619371404935,0.529352674481712,0.915386541619558,1.09618537929467,0.0143143434671021,0.131445221792406,0.43520079234429,0.75639348649316,1.00741372709095
"paraboloid-disk-rep1-n240-r1","geodesic",8,1,0,1129,9.98234894744598e-09,8,8,9,12,13,0.0143597923011662,0.0609437069938106,0.184063759659523,0.313222927327573,0.50853310780116,0.0143143434671021,0.0487684989363551,0.150001951303164,0.277283732369461,0.428603071593451
"paraboloid-disk-rep1-n240-r16","ambient",128,1,0,17468,4.44089209850063e-16,128,128,128,239,239,0.370567955760646,11.4653232242444,46.1050781908485,107.70462737182,141.823126042812,0.0143143434671021,0.182521344689214,0.813725236274884,1.69319357508262,1.9884200901266
"paraboloid-disk-rep1-n240-r16","ambient",16,1,0,2142,4.44089209850063e-16,16,16,17,21,23,0.370567955760646,4.21960441828456,12.938128945787,22.4372008424585,31.2441573992481,0.0143143434671021,0.0646322650416705,0.489133137502382,1.24482289918038,1.95252937608195
"paraboloid-disk-rep1-n240-r16","ambient",239,1,0,28680,0,239,239,239,239,239,0.370567955760646,14.4591910299838,78.2230577497946,202.122061874971,254.117154420666,0.0143143434671021,0.238866905851992,0.878730557188106,1.62124282910863,1.9884200901266
"paraboloid-disk-rep1-n240-r16","ambient",32,1,0,4185,4.44089209850063e-16,32,32,34,40,53,0.370567955760646,5.85813936327773,17.9336881006076,29.4938735380428,41.9219143017508,0.0143143434671021,0.0949221882020449,0.659303397608316,1.64676160059093,1.9884200901266
"paraboloid-disk-rep1-n240-r16","ambient",4,1,0,577,8.88178419700125e-16,4,4,5,7,9,0.370567955760646,2.15285032985816,7.12146755546241,12.6522380950811,16.4120631084938,0.0143143434671021,0.0366205454932945,0.277123933393942,0.691986031103684,0.973510166167301
"paraboloid-disk-rep1-n240-r16","ambient",64,1,0,8424,4.44089209850063e-16,64,64,66,89.05,96,0.370567955760646,8.11634852187806,26.536957176131,49.8131453940457,74.5201305483835,0.0143143434671021,0.131485871714981,0.743168991542377,1.73803687718574,1.9884200901266
"paraboloid-disk-rep1-n240-r16","ambient",8,1,0,1103,4.44089209850063e-16,8,8,9,12,15,0.370567955760646,3.09966189356619,9.53646321919569,17.1815174466181,26.4909969775213,0.0143143434671021,0.0509103081488533,0.344193338764335,0.919833509397956,1.48007671495116
"paraboloid-disk-rep1-n240-r16","geodesic",128,1,0,17481,2.50009288826902e-08,128,128,128,239,239,0.370574862909244,12.1292109973191,48.3952472417781,108.539351258465,143.86522605397,0.0143143434671021,0.182556666547134,0.809249568752353,1.69312294602178,1.9884200901266
"paraboloid-disk-rep1-n240-r16","geodesic",16,1,0,2134,5.314564344161e-10,16,16,17,21,23,0.370574862909244,4.29030793132458,13.4154408694023,23.6550383256054,32.9496096357176,0.0143143434671021,0.0645462755498799,0.443533492409288,1.15084007231837,1.6257262139795
"paraboloid-disk-rep1-n240-r16","geodesic",239,1,0,28680,3.32350329479425e-08,239,239,239,239,239,0.370574862909244,15.5627612684146,79.3886129916636,202.461344899226,254.69057553526,0.0143143434671021,0.238866905851992,0.878730557188106,1.62124282910863,1.9884200901266
"paraboloid-disk-rep1-n240-r16","geodesic",32,1,0,4234,7.97951882347547e-09,32,32,34,42,51,0.370574862909244,6.11680828666758,19.4667419086905,33.2149851507485,46.9601473994203,0.0143143434671021,0.0918903792123449,0.594162120251368,1.4796160739301,1.98174369757478
"paraboloid-disk-rep1-n240-r16","geodesic",4,1,0,580,8.88178419700125e-16,4,4,5,7,9,0.370574862909244,2.15600271340479,7.1478672929815,12.9450276375884,16.9541425273609,0.0143143434671021,0.0367279012998038,0.271794349350369,0.651891653575085,0.93239366958842
