"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",16,1,"supplied",166.529494362446,144.235970001065,0.00327076325362474,56,TRUE,"stress_tolerance",0.0571905871068373,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",16,2,"random",13704.4537363788,144.236245302072,0.00327076949648092,153,TRUE,"stress_tolerance",0.057190641686214,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",16,3,"random",13482.5842998468,144.236205950627,0.00327076860412889,153,TRUE,"stress_tolerance",0.0571906338846573,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",239,1,"supplied",166.223379442444,147.625957722969,0.00345768685372807,52,TRUE,"stress_tolerance",0.0588020990588609,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",239,2,"random",13288.3366612586,147.626146663075,0.00345769127907258,152,TRUE,"stress_tolerance",0.0588021366879856,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",239,3,"random",13064.3008349848,147.625957586835,0.00345768685053957,151,TRUE,"stress_tolerance",0.0588020990317486,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",32,1,"supplied",164.695697860801,145.402791358976,0.00337385666294032,52,TRUE,"stress_tolerance",0.0580849090809338,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",32,2,"random",13410.5881654297,145.402695597803,0.00337385444094397,153,TRUE,"stress_tolerance",0.0580848899537904,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",32,3,"random",13187.1273585062,145.402711500773,0.00337385480994886,151,TRUE,"stress_tolerance",0.0580848931302177,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",4,1,"supplied",278.551436674542,187.095982800035,0.00303857193593741,75,TRUE,"stress_tolerance",0.0551232431551103,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",4,2,"random",18970.0945608459,187.10242087251,0.00303867649481705,229,TRUE,"stress_tolerance",0.0551241915570384,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",4,3,"random",18662.8879981144,187.104612352223,0.00303871208600749,332,TRUE,"stress_tolerance",0.0551245143834168,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",64,1,"supplied",166.115137833055,147.364232208194,0.00344553071857684,52,TRUE,"stress_tolerance",0.0586986432430666,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",64,2,"random",13314.2801495556,147.364170501264,0.00344552927580392,153,TRUE,"stress_tolerance",0.0586986309534043,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",64,3,"random",13091.0163141094,147.3642696653,0.00344553159436336,151,TRUE,"stress_tolerance",0.0586986507030897,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",8,1,"supplied",189.149930887096,157.663685399135,0.00330576833193295,53,TRUE,"stress_tolerance",0.0574958114294676,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",8,2,"random",14722.3444704451,157.663717211056,0.00330576899894032,146,TRUE,"stress_tolerance",0.0574958172299546,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",8,3,"random",14509.3488034643,157.663742970687,0.00330576953904802,154,TRUE,"stress_tolerance",0.0574958219268851,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",128,1,"supplied",12078.6967691923,912.557247240006,2.75374062383501e-06,25,TRUE,"stress_tolerance",0.00165943985243178,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",128,2,"random",137910572.170365,6908.84758985873,2.08481981044143e-05,607,TRUE,"stress_tolerance",0.00456598270960589,"","",FALSE,"Gaussian"
