"case","surface","radius","regime","k","method","edge_scale","vertex","x","y","z","x_r2","y_r2","z_r2"
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,1,-0.652155215487009,-0.13968832377221,0.444819252885197,-0.652155215487009,-0.13968832377221,0.444819252885197
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,2,0.967794924379348,-0.0576510049613992,0.939950654027488,0.967794924379348,-0.0576510049613992,0.939950654027488
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,3,0.921414387866021,0.192411254458038,0.88602656500863,0.921414387866021,0.192411254458038,0.88602656500863
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,4,-0.40994076089376,0.425357079367157,0.348980072409912,-0.40994076089376,0.425357079367157,0.348980072409912
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,5,-0.428464202582753,-0.341335283526407,0.300091348674927,-0.428464202582753,-0.341335283526407,0.300091348674927
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,6,-0.674535361696258,0.018335933466235,0.45533416063478,-0.674535361696258,0.018335933466235,0.45533416063478
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,7,-0.538224722212733,0.168622485248681,0.318119394132415,-0.538224722212733,0.168622485248681,0.318119394132415
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,8,-0.790889772289864,-0.319916126730313,0.727852960054839,-0.790889772289864,-0.319916126730313,0.727852960054839
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,9,0.496127364661969,-0.7219142588948,0.767302559162059,0.496127364661969,-0.7219142588948,0.767302559162059
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,10,-0.633229655437752,0.586435885521878,0.744886844353644,-0.633229655437752,0.586435885521878,0.744886844353644
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,11,-0.211576338296927,-0.45673451330413,0.253370962570296,-0.211576338296927,-0.45673451330413,0.253370962570296
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,12,0.559899520850274,-0.658168642018531,0.746673434784883,0.559899520850274,-0.658168642018531,0.746673434784883
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,13,-0.616897229563473,-0.20072731393146,0.420853646401227,-0.616897229563473,-0.20072731393146,0.420853646401227
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,14,-0.033012486075934,0.0887873903164432,0.00897302491611818,-0.033012486075934,0.0887873903164432,0.00897302491611818
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,15,0.524873191756576,0.614988611846907,0.65370286012612,0.524873191756576,0.614988611846907,0.65370286012612
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,16,-0.228679191453577,-0.712187894282329,0.559505769366159,-0.228679191453577,-0.712187894282329,0.559505769366159
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,17,-0.532265413632931,-0.492687694834646,0.526047635191312,-0.532265413632931,-0.492687694834646,0.526047635191312
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,18,-0.595302144388073,0.0899628371717432,0.362477955185028,-0.595302144388073,0.0899628371717432,0.362477955185028
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,19,-0.378798079627275,0.292155579601943,0.228842867821858,-0.378798079627275,0.292155579601943,0.228842867821858
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,20,0.993317140749758,0.104214100860958,0.997539520925533,0.993317140749758,0.104214100860958,0.997539520925533
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,21,-0.456549961717361,-0.0431408553346509,0.210299000943129,-0.456549961717361,-0.0431408553346509,0.210299000943129
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,22,0.407926759274561,-0.853009394918447,0.894029268751381,0.407926759274561,-0.853009394918447,0.894029268751381
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,23,-0.657795018145936,-0.214984841091479,0.478912767796741,-0.657795018145936,-0.214984841091479,0.478912767796741
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,24,0.566946265926932,0.0371205834605181,0.322806006164941,0.566946265926932,0.0371205834605181,0.322806006164941
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,25,0.391515238812098,0.096555297704926,0.162607107736981,0.391515238812098,0.096555297704926,0.162607107736981
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,26,0.143711242209977,-0.941414324295984,0.906913851127199,0.143711242209977,-0.941414324295984,0.906913851127199
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,27,0.0690402023378022,0.873053524773064,0.766989006657515,0.0690402023378022,0.873053524773064,0.766989006657515
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,28,-0.246302686615287,-0.161596150375356,0.0867783292500431,-0.246302686615287,-0.161596150375356,0.0867783292500431
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,29,-0.977466362673765,-0.160033581158767,0.981051237257181,-0.977466362673765,-0.160033581158767,0.981051237257181
