"case","surface","sampling","replicate","n","radius","regime","k","angular_gap_min","angular_gap_q05","angular_gap_median","angular_gap_q95","angular_gap_max","radial_gap_min","radial_gap_q05","radial_gap_median","radial_gap_q95","radial_gap_max"
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",128,1.19982358592896e-05,0.0982668519929277,0.987291924481186,2.40167489151013,3.14139308332409,1.48035468677254e-05,0.0221331525071455,0.238206478550466,0.648681704834066,0.915927548686633
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",16,1.19982358592896e-05,0.0265953547197888,0.254318236591612,0.664779480798672,3.13609251162862,3.24320694434777e-05,0.00902498973609357,0.0890938070291662,0.210767912797607,0.299363559165407
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677254e-05,0.020492183386758,0.230625219262326,0.648010211494774,0.915927548686633
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",32,1.19982358592896e-05,0.0386038338511667,0.367568171725296,1.02329598589857,3.13609251162862,1.48035468677254e-05,0.011572515806254,0.124892850455806,0.304598587443504,0.465010376145655
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",4,1.19982358592896e-05,0.0158584162187766,0.125491850133341,0.387959087427944,1.46613031692058,0.000315985049014589,0.00535516366176332,0.0450327099737056,0.118570301613495,0.157892103101845
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",64,1.19982358592896e-05,0.0562639746679039,0.560289763419849,1.63532516356563,3.13609251162862,1.48035468677254e-05,0.0169414829625837,0.175791496923415,0.459341493987145,0.646687633895822
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"ambient",8,1.19982358592896e-05,0.0223652520492157,0.180501297185179,0.494947851135176,2.65087770360886,3.24320694434777e-05,0.00637242436084512,0.0628827163432074,0.151786317331026,0.25341498150574
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",128,1.19982358592896e-05,0.0971590867558721,0.979095559583176,2.33671126664449,3.14139308332409,1.48035468677254e-05,0.0221545159388051,0.240981296550762,0.658611411280024,0.915927548686633
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",16,1.19982358592896e-05,0.0266014831907423,0.253603084882621,0.664477784735427,3.13609251162862,3.24320694434777e-05,0.00904985111187834,0.0894082390431206,0.211751600509192,0.299363559165407
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677254e-05,0.020492183386758,0.230625219262326,0.648010211494774,0.915927548686633
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",32,1.19982358592896e-05,0.0385354784926835,0.364377331620938,1.01340745254187,3.13609251162862,1.48035468677254e-05,0.0118627029433966,0.125585948269096,0.306577451084678,0.465010376145655
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",4,1.19982358592896e-05,0.0158584162187766,0.125491850133341,0.387959087427944,1.46613031692058,0.000315985049014589,0.00535516366176332,0.0450327099737056,0.118570301613495,0.157892103101845
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",64,1.19982358592896e-05,0.0558884188019711,0.553274790366841,1.58792451691232,3.13609251162862,1.48035468677254e-05,0.0169722547758076,0.177426433803329,0.464729518124984,0.646687633895822
"paraboloid-disk-rep1-n240-r1","paraboloid","disk",1,240,1,"geodesic",8,1.19982358592896e-05,0.0223597478464135,0.179225600722109,0.494951387697669,2.65087770360886,3.24320694434777e-05,0.00635710306589916,0.0633899702350742,0.153219025126315,0.25341498150574
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",128,1.19982358592896e-05,0.159771598001687,1.58120513710559,2.98252658401612,3.14142676971416,1.48035468677532e-05,0.0123814737340288,0.129894213573119,0.391619431929384,0.643759058712091
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",16,1.19982358592896e-05,0.078882924511651,0.896830765266052,2.25637469506205,3.13609251162862,1.48035468677532e-05,0.0020758177182451,0.0228733280871292,0.0583675263607342,0.179442317531604
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677532e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",32,1.19982358592896e-05,0.119040588972231,1.3073414527811,2.89536483038435,3.1381372934505,1.48035468677532e-05,0.00276808691189536,0.0306868231815737,0.109563494978799,0.282791569090157
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",4,0.0082243486797049,0.0468416773820888,0.443933073270083,1.25712288492735,2.65087770360886,1.48035468677532e-05,0.00126153830576932,0.0125373463954627,0.0339995885122347,0.0762937841342354
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",64,1.19982358592896e-05,0.146765586714791,1.52597961871574,2.9746431884579,3.14139308332409,1.48035468677532e-05,0.00596064287316156,0.0602068677459333,0.206676019315339,0.416368845040088
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",8,1.19982358592896e-05,0.0588536889397254,0.597967520004224,1.59969772440121,3.13609251162862,1.48035468677532e-05,0.00162786239199729,0.0178181556725875,0.0438721514691565,0.121789346961668
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",128,1.19982358592896e-05,0.158173398903195,1.57185163023309,2.97939070630281,3.14142676971416,1.48035468677532e-05,0.0123883541828498,0.130004185252567,0.391336263629531,0.643759058712091
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",16,1.19982358592896e-05,0.077668745695047,0.803617543951368,1.94228321367648,3.13609251162862,1.48035468677532e-05,0.00239719198107118,0.0261382965047013,0.0648061328144054,0.179442317531604
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677532e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",32,1.19982358592896e-05,0.111019829977053,1.14132840665243,2.55862135859329,3.13609251162862,1.48035468677532e-05,0.00366299635965926,0.0363009468495915,0.108795673159199,0.282791569090157
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"geodesic",4,0.0082243486797049,0.0460831411929254,0.436040354435363,1.16401345220538,2.65087770360886,1.48035468677532e-05,0.0012777954698356,0.0131348367546201,0.0353580964866466,0.0762937841342354
