surface,regime,coordinate_error,horizontal_error,vertical_error,height_only_error
paraboloid,ambient,0.00877099539428,0.236601637688,0.000459494814611,0.0374023658786
paraboloid,geodesic,0.0145907146324,0.385843794028,0.00197089599775,0.0374023658786
saddle,ambient,0.00896129260892,0.352376666468,0.000250582545856,0.0263754470691
saddle,geodesic,0.803846717229,17.515193009,0.659300247188,0.0263754470691
