replicate,k,method,path_rel,edge_rel,stress1,xz_path_error,procrustes
1,71,Classical MDS,3.50634340856013,7.206449231173099,3.45904502686162,4.61163953704265,35.2154107908385
1,71,Stress MDS,2.29371626453587,5.13100187763826,2.78598879924062,3.0487550423070697,26.706104091889
1,71,Classical MDS + edge-KK,0.25723226942075,0.39953228239243005,4.6401343668987005,0.26297340071617,39.7778063380216
1,71,Stress MDS + edge-KK,0.20133718415621,0.26072764022889,5.2127694442195995,0.23476309490808,27.544646085013003
2,70,Classical MDS,3.39072486029618,7.133240842071981,3.34015194204555,4.54891036200641,29.1378059921424
2,70,Stress MDS,2.26391523387603,5.08113762428522,2.71525612691762,2.96539566361867,23.2041655159009
2,70,Classical MDS + edge-KK,0.23755350905299003,0.38285575092433,4.48276419844586,0.24579371144134002,30.6706213614467
2,70,Stress MDS + edge-KK,0.16407474605483,0.22719135760566,5.17185299625099,0.21308381356151,22.3241615027587
3,67,Classical MDS,3.6564175172534297,7.39898371707644,3.57567424919674,4.8206233777563,40.572824606839504
3,67,Stress MDS,2.3344694251500897,5.2159151680102305,2.86507554835668,3.02011114727916,26.067706541098
3,67,Classical MDS + edge-KK,0.29197899049121,0.3816930006058,4.913082484352261,0.26339023735238,47.6136200545079
3,67,Stress MDS + edge-KK,0.17470844733119,0.19479685554003,5.49248353922075,0.20684233062777,26.740671624662
4,72,Classical MDS,3.45066320977739,7.08767669869112,3.4602970909817197,4.549329445116141,29.190010036910902
4,72,Stress MDS,2.24610572121702,4.96254486989905,2.82588916039349,3.0475037660011,15.331374373530299
4,72,Classical MDS + edge-KK,0.21548953162601,0.36814237438546,4.715216526583601,0.23834644009169,30.492539322218796
4,72,Stress MDS + edge-KK,0.12195424391870001,0.25454435658265,5.14066322323663,0.22401743563084,4.59929661050106
5,73,Classical MDS,3.4495103484945497,7.10052178730428,3.4387015714917704,4.55297080715505,28.7197224780817
5,73,Stress MDS,2.25093900458762,5.0040545493840805,2.80303511304355,3.00703995769852,16.6904793750603
5,73,Classical MDS + edge-KK,0.24474119437468,0.37167101749731996,4.90855409069306,0.25337624077775,30.0648996645992
5,73,Stress MDS + edge-KK,0.15374110084618,0.22663301611794998,5.263315370809741,0.23877372081246,9.35208240822299
