"replicate","k","method","run","stage","mix","iterations","budget","hit_budget","final_gradient","final_energy","final_edge_scale","final_edge_rel","accepted_steps","max_energy_increase"
1,32,"classical","primary",1,0,200,200,TRUE,0.0799632715912452,0.0589053660869498,1.01970743345942,0.0122482337753228,201,0
1,32,"classical","primary",2,0.25,200,200,TRUE,0.0306615531571701,0.0250302260907604,1.02404909382491,0.00793000740357075,201,0
1,32,"classical","primary",3,0.5,200,200,TRUE,0.045237973944956,0.0158807978535373,1.02516480935693,0.00629361911738071,201,0
1,32,"classical","primary",4,0.75,200,200,TRUE,0.0506492039948865,0.0118574512493924,1.02538272748052,0.00542337021202547,201,0
1,32,"classical","primary",5,1,200,200,TRUE,0.00789870315801027,0.00954625271120632,1.02520531931541,0.00485481073426301,201,0
1,32,"stress","primary",1,0,200,200,TRUE,0.0652148365395372,0.0526184206109821,1.0413390569163,0.0113357006590509,201,0
1,32,"stress","primary",2,0.25,200,200,TRUE,0.116245097412494,0.025964094114713,1.0446437105092,0.00791735972674269,201,0
1,32,"stress","primary",3,0.5,200,200,TRUE,0.0454713807892664,0.0142980512011175,1.04620588764362,0.00585166225404552,201,0
1,32,"stress","primary",4,0.75,200,200,TRUE,0.0555590975841832,0.010101621930664,1.04680198686858,0.00490332400635842,201,0
1,32,"stress","primary",5,1,200,200,TRUE,0.0269963055970147,0.0076738342709373,1.0472623514532,0.00426105762610759,201,0
1,66,"classical","primary",1,0,200,200,TRUE,0.0862795056149534,0.0873139331315778,1.01492371449227,0.00714956635683768,201,0
1,66,"classical","primary",2,0.25,200,200,TRUE,0.203978683344117,0.0467491125271844,1.01591321763868,0.00519645536188872,201,0
1,66,"classical","primary",3,0.5,200,200,TRUE,0.118807429707843,0.033645329850613,1.01600700876856,0.00438305522221828,201,0
1,66,"classical","primary",4,0.75,200,200,TRUE,0.116399782060751,0.0271366210861449,1.01569074611705,0.00391552005864733,201,0
1,66,"classical","primary",5,1,200,200,TRUE,0.0622800355464951,0.0231256069462505,1.01548945082785,0.00359528317714569,201,0
1,66,"stress","primary",1,0,200,200,TRUE,0.0950487697009997,0.077386411684942,1.03802754025371,0.00658104414900159,201,0
1,66,"stress","primary",2,0.25,200,200,TRUE,0.160849615456376,0.0330792304559578,1.04028706931173,0.00426875888532896,201,0
1,66,"stress","primary",3,0.5,200,200,TRUE,0.0866728522376168,0.0180706066016578,1.04116320375134,0.00313457601136276,201,0
1,66,"stress","primary",4,0.75,200,200,TRUE,0.0548326905431292,0.0130952104179124,1.04170177949405,0.00265207558875752,201,0
1,66,"stress","primary",5,1,200,200,TRUE,0.030920889601543,0.0106626202778027,1.04195643623631,0.00237927345224079,201,0
1,71,"classical","primary",1,0,200,200,TRUE,0.290779993597376,0.15229124159992,1.01277276738126,0.00875962917275423,201,0
1,71,"classical","primary",2,0.25,200,200,TRUE,0.0810817731251841,0.0745268836922835,1.01452447875091,0.00608073960100422,201,0
1,71,"classical","primary",3,0.5,200,200,TRUE,0.0355655829439935,0.0468116433354334,1.01512148375743,0.00478800145746533,201,0
1,71,"classical","primary",4,0.75,200,200,TRUE,0.027081576927282,0.0377331268497723,1.01499184130759,0.00427422208567679,201,0
1,71,"classical","primary",5,1,200,200,TRUE,0.0656315069421779,0.033342007531662,1.01483263152381,0.00399532282392437,201,0
1,71,"stress","primary",1,0,200,200,TRUE,0.409538416289064,0.133803060083933,1.03603818791341,0.00802633961542524,201,0
1,71,"stress","primary",2,0.25,200,200,TRUE,0.0731034637844396,0.0576767564269659,1.03909023979531,0.00522287466586511,201,0
1,71,"stress","primary",3,0.5,200,200,TRUE,0.0399269681119883,0.0319613301606399,1.04037469322579,0.0038602727624652,201,0
1,71,"stress","primary",4,0.75,200,200,TRUE,0.0274550121637058,0.0204722524334669,1.04124734115011,0.00306893115562835,201,0
1,71,"stress","primary",5,1,200,200,TRUE,0.0186637065767585,0.0149611274016681,1.04170683462298,0.00260727640228899,201,0
1,71,"classical_kk","additional",1,1,1000,1000,TRUE,0.0118067361428062,0.0183057495126597,1.01428435861254,0.00296199592306245,1001,0
1,71,"stress_kk","additional",1,1,1000,1000,TRUE,0.00737757793383545,0.00740813060850897,1.04209405547966,0.00183399363342151,1001,0
1,76,"classical","primary",1,0,200,200,TRUE,0.215431013210861,0.209934721438686,1.01133862253433,0.00958496315406375,201,0
1,76,"classical","primary",2,0.25,200,200,TRUE,0.104169614871959,0.0999884863285412,1.01378228218224,0.0065587490347197,201,0
1,76,"classical","primary",3,0.5,200,200,TRUE,0.121050552766664,0.0637047919515476,1.0145904450128,0.00519952721630414,201,0
1,76,"classical","primary",4,0.75,200,200,TRUE,0.103596431286343,0.0514651015874781,1.01473526148378,0.00464495363995893,201,0
1,76,"classical","primary",5,1,200,200,TRUE,0.110858712144745,0.0444786398822846,1.01459528017825,0.00429338983992214,201,0
1,76,"stress","primary",1,0,200,200,TRUE,0.578170560716653,0.183859383166449,1.03464937126365,0.00876788016371664,201,0
1,76,"stress","primary",2,0.25,200,200,TRUE,0.25094673554026,0.0757788180268752,1.03837919857124,0.00557453500800038,201,0
1,76,"stress","primary",3,0.5,200,200,TRUE,0.14170287452997,0.0437374971686207,1.03975632473443,0.00420401218204173,201,0
1,76,"stress","primary",4,0.75,200,200,TRUE,0.110449059074124,0.0265363118555692,1.04086586126226,0.00325164582445145,201,0
1,76,"stress","primary",5,1,200,200,TRUE,0.0687748354834188,0.019057216585439,1.04148109858183,0.00273776240239837,201,0
1,80,"classical","primary",1,0,200,200,TRUE,0.547456077110436,0.237546904686264,1.01100194316303,0.00965765840242023,201,0
1,80,"classical","primary",2,0.25,200,200,TRUE,0.324753658739965,0.114265193967441,1.01348940075444,0.00664116156458282,201,0
1,80,"classical","primary",3,0.5,200,200,TRUE,0.0871711175235034,0.0738300150486287,1.014456392219,0.0053012499955884,201,0
1,80,"classical","primary",4,0.75,200,200,TRUE,0.0415869788017463,0.0625753742244733,1.01450205684284,0.00485136469354362,201,0
1,80,"classical","primary",5,1,200,200,TRUE,0.0373601938271264,0.055925783430055,1.01425551869886,0.00456062138775393,201,0
1,80,"stress","primary",1,0,200,200,TRUE,0.638962145251752,0.205743099236957,1.03428700436829,0.00878558557683059,201,0
1,80,"stress","primary",2,0.25,200,200,TRUE,0.141563923407615,0.0873504582542438,1.03800856939214,0.00566941085980074,201,0
1,80,"stress","primary",3,0.5,200,200,TRUE,0.081422757479776,0.0479519599799049,1.03967450848317,0.00416870319827432,201,0
1,80,"stress","primary",4,0.75,200,200,TRUE,0.0486673317732769,0.0285715159539667,1.04083483249669,0.00319521400750647,201,0
1,80,"stress","primary",5,1,200,200,TRUE,0.0640595707641263,0.019983245302833,1.04152002821428,0.00265479349474279,201,0
2,32,"classical","primary",1,0,200,200,TRUE,0.0598444453500047,0.0571881467415227,1.01981245738455,0.012272047856802,201,0
2,32,"classical","primary",2,0.25,200,200,TRUE,0.0319269063125932,0.0284491106559888,1.02278386503434,0.00858790633340874,201,0
2,32,"classical","primary",3,0.5,200,200,TRUE,0.0521232859541243,0.016901293624497,1.02433432292189,0.0065770111362618,201,0
2,32,"classical","primary",4,0.75,200,200,TRUE,0.0317727546254231,0.013599992724174,1.02466332704063,0.00586938510464622,201,0
2,32,"classical","primary",5,1,200,200,TRUE,0.024768342005526,0.0113733363050111,1.02445222124027,0.00534282624679633,201,0
2,32,"stress","primary",1,0,200,200,TRUE,0.197367959108822,0.0473120997180254,1.04115307042666,0.0109334158960923,201,0
2,32,"stress","primary",2,0.25,200,200,TRUE,0.0646750035265643,0.0263002690219487,1.04338168430589,0.00809419581406547,201,0
2,32,"stress","primary",3,0.5,200,200,TRUE,0.0175515373376015,0.0164764242106247,1.04475616997745,0.00636688296498437,201,0
2,32,"stress","primary",4,0.75,200,200,TRUE,0.0712879580058824,0.0125278601049045,1.04536471357538,0.005521728791154,201,0
2,32,"stress","primary",5,1,200,200,TRUE,0.0086406135992182,0.00996020398546136,1.04559166416719,0.00489881256172245,201,0
2,65,"classical","primary",1,0,200,200,TRUE,0.139270093902857,0.118891632498904,1.01384816334974,0.00858676736242913,201,0
2,65,"classical","primary",2,0.25,200,200,TRUE,0.241032241740078,0.0384465155712505,1.01699474541248,0.00483623195661392,201,0
2,65,"classical","primary",3,0.5,200,200,TRUE,0.0877315074675774,0.0269211508814163,1.01732573529774,0.00401967449170658,201,0
2,65,"classical","primary",4,0.75,200,200,TRUE,0.0645573682015483,0.0229200437526873,1.01711765806568,0.00368623377851096,201,0
2,65,"classical","primary",5,1,200,200,TRUE,0.0459595141061198,0.0210591127233553,1.01680822535413,0.00351240152817274,201,0
2,65,"stress","primary",1,0,200,200,TRUE,0.318346436942473,0.111751331788128,1.03605306385428,0.00814650493318906,201,0
2,65,"stress","primary",2,0.25,200,200,TRUE,0.151451923163266,0.0361007120380204,1.03940304704994,0.00458533675979509,201,0
2,65,"stress","primary",3,0.5,200,200,TRUE,0.0875745763320801,0.0174847561489393,1.04084098316801,0.0031662814127801,201,0
2,65,"stress","primary",4,0.75,200,200,TRUE,0.11321250796981,0.0108748840613538,1.04161184191065,0.00247943516571277,201,0
2,65,"stress","primary",5,1,200,200,TRUE,0.030937183435813,0.00865283035264505,1.04195537364341,0.00219711682226326,201,0
2,70,"classical","primary",1,0,200,200,TRUE,0.441372730686469,0.178197819563742,1.01191893273062,0.00974026511344391,201,0
2,70,"classical","primary",2,0.25,200,200,TRUE,0.071556462540777,0.0524050024270654,1.01658100729672,0.00522340923705837,201,0
2,70,"classical","primary",3,0.5,200,200,TRUE,0.0314549025232096,0.0383077530682812,1.01704830420702,0.00443499222610853,201,0
2,70,"classical","primary",4,0.75,200,200,TRUE,0.0222606784974145,0.032142648207704,1.01672787908295,0.0040377994726639,201,0
2,70,"classical","primary",5,1,200,200,TRUE,0.0180968290208975,0.029244234834429,1.01635717904348,0.00382855750924334,201,0
2,70,"stress","primary",1,0,200,200,TRUE,0.180412744448738,0.162380459396093,1.03428513261646,0.00909686830313919,201,0
2,70,"stress","primary",2,0.25,200,200,TRUE,0.0856201455778984,0.0523731514701551,1.03844890506724,0.00511185931114585,201,0
2,70,"stress","primary",3,0.5,200,200,TRUE,0.146206804614397,0.0262183293585978,1.04024110384106,0.00358723311709363,201,0
2,70,"stress","primary",4,0.75,200,200,TRUE,0.0262965883916637,0.0145863543476286,1.04129765181524,0.00265587201327236,201,0
2,70,"stress","primary",5,1,200,200,TRUE,0.0389386524743539,0.0108199938558106,1.04179700180784,0.0022719135760566,201,0
2,70,"classical_kk","additional",1,1,1000,1000,TRUE,0.011650401554327,0.0191777526927101,1.0149858595743,0.0031045615037083,1001,0
2,70,"stress_kk","additional",1,1,1000,1000,TRUE,0.00667073829212203,0.00614465746954765,1.04232632737326,0.00171122270776224,1001,0
2,75,"classical","primary",1,0,200,200,TRUE,0.704929562815107,0.239295324249727,1.0105496677654,0.0105064479992674,201,0
2,75,"classical","primary",2,0.25,200,200,TRUE,0.219724757005517,0.0762675606682372,1.01555485870771,0.00586384139148392,201,0
2,75,"classical","primary",3,0.5,200,200,TRUE,0.0998177435054742,0.051789339756417,1.01649495360734,0.00479663051825653,201,0
2,75,"classical","primary",4,0.75,200,200,TRUE,0.0826957569338093,0.0427000827336493,1.01632995639726,0.00432854634498702,201,0
2,75,"classical","primary",5,1,200,200,TRUE,0.0251518928795976,0.0391351901812115,1.01602746556124,0.00411923399347361,201,0
2,75,"stress","primary",1,0,200,200,TRUE,0.511860309019987,0.205021554624085,1.03329512579194,0.00951090520355838,201,0
2,75,"stress","primary",2,0.25,200,200,TRUE,0.121149304243948,0.0746514029138245,1.03791528178895,0.00567639691672202,201,0
2,75,"stress","primary",3,0.5,200,200,TRUE,0.145299791498949,0.0334535136757519,1.04055348929455,0.00376597788793162,201,0
2,75,"stress","primary",4,0.75,200,200,TRUE,0.0357743068799287,0.0192184926613362,1.04196513992912,0.00283249343446445,201,0
2,75,"stress","primary",5,1,200,200,TRUE,0.0271014367479075,0.0142121274975518,1.04257610659316,0.00241913422820741,201,0
2,80,"classical","primary",1,0,200,200,TRUE,0.802237843503632,0.238958146714556,1.0110651499771,0.00980307165383484,201,0
2,80,"classical","primary",2,0.25,200,200,TRUE,0.12417027876717,0.0942599650025751,1.01496716015037,0.00609346788755147,201,0
2,80,"classical","primary",3,0.5,200,200,TRUE,0.0625155527359171,0.060007407813723,1.0160378036184,0.00482563282819745,201,0
2,80,"classical","primary",4,0.75,200,200,TRUE,0.104503824809437,0.0498188730587616,1.01616799614137,0.0043685508463899,201,0
2,80,"classical","primary",5,1,200,200,TRUE,0.0297553925820414,0.0460865317684178,1.01598934815527,0.00417621261976213,201,0
2,80,"stress","primary",1,0,200,200,TRUE,0.269475285724676,0.214441713025979,1.03339322230588,0.00908593075305752,201,0
2,80,"stress","primary",2,0.25,200,200,TRUE,0.20334909239148,0.0861715203459456,1.03767155376983,0.00569868755885498,201,0
2,80,"stress","primary",3,0.5,200,200,TRUE,0.0908903135620135,0.0406559586643297,1.04002619640223,0.00388042713225013,201,0
2,80,"stress","primary",4,0.75,200,200,TRUE,0.129055137264147,0.023356827744412,1.0413120242228,0.00291898594434367,201,0
2,80,"stress","primary",5,1,200,200,TRUE,0.0429052439609116,0.0160000702336576,1.04202821146462,0.00239919866063086,201,0
3,32,"classical","primary",1,0,200,200,TRUE,0.139033762799335,0.0634597838717798,1.02055504415315,0.0125970778311218,201,0
3,32,"classical","primary",2,0.25,200,200,TRUE,0.0369152225736819,0.0325188633276341,1.02284024287724,0.00900953889560581,201,0
3,32,"classical","primary",3,0.5,200,200,TRUE,0.0212422291007616,0.018272886261028,1.02411129751418,0.00675439471501519,201,0
3,32,"classical","primary",4,0.75,200,200,TRUE,0.0128490912502968,0.0143058979940857,1.02437185591049,0.00598299803529458,201,0
3,32,"classical","primary",5,1,200,200,TRUE,0.0370466285367881,0.0115817043387049,1.02433728514042,0.00539079369456065,201,0
3,32,"stress","primary",1,0,200,200,TRUE,0.0564545468528558,0.0501213427069736,1.04297073604564,0.0109545912490322,201,0
3,32,"stress","primary",2,0.25,200,200,TRUE,0.0995836617779167,0.0273259364139161,1.0455809477623,0.00807927811995049,201,0
3,32,"stress","primary",3,0.5,200,200,TRUE,0.0438707438515412,0.0152346121163015,1.04692776207385,0.00603293994660243,201,0
3,32,"stress","primary",4,0.75,200,200,TRUE,0.0107871078277092,0.010113961641024,1.04756612703692,0.00491924145749852,201,0
3,32,"stress","primary",5,1,200,200,TRUE,0.0261409150765011,0.00808926226499849,1.04766735084698,0.00440494513879079,201,0
3,62,"classical","primary",1,0,200,200,TRUE,0.374008942923192,0.0678325354880608,1.01565319106665,0.00664701709181159,201,0
3,62,"classical","primary",2,0.25,200,200,TRUE,0.206065806144638,0.0396404882445824,1.01628935278311,0.00507519422887921,201,0
3,62,"classical","primary",3,0.5,200,200,TRUE,0.0745479085190916,0.0371030194192934,1.01614536751573,0.00490791420996878,201,0
3,62,"classical","primary",4,0.75,200,200,TRUE,0.0490052582603137,0.0352573461950759,1.01595428853808,0.00478240932306887,201,0
3,62,"classical","primary",5,1,200,200,TRUE,0.0561266003925177,0.033548246655801,1.01574829344061,0.00466329759673698,201,0
3,62,"stress","primary",1,0,200,200,TRUE,0.33490456198945,0.0535552978683694,1.04055410859349,0.00576487319225175,201,0
3,62,"stress","primary",2,0.25,200,200,TRUE,0.198933482533291,0.0215140010003907,1.04246180492507,0.00364502898556056,201,0
3,62,"stress","primary",3,0.5,200,200,TRUE,0.0461536877276662,0.0176185630570942,1.04277630747312,0.00329565896747912,201,0
3,62,"stress","primary",4,0.75,200,200,TRUE,0.0568839313206774,0.0145744519501563,1.04310538127706,0.00299477385305115,201,0
3,62,"stress","primary",5,1,200,200,TRUE,0.0347785511292249,0.0122602418257955,1.04339493377186,0.00274438548588747,201,0
3,67,"classical","primary",1,0,200,200,TRUE,0.335505874839475,0.118929913877731,1.01339243345965,0.00812757234753311,201,0
3,67,"classical","primary",2,0.25,200,200,TRUE,0.225598617370711,0.0553772787406795,1.01480021115534,0.00553504703015974,201,0
3,67,"classical","primary",3,0.5,200,200,TRUE,0.0230443127533836,0.0379438097641852,1.0144873299513,0.00458039900917195,201,0
3,67,"classical","primary",4,0.75,200,200,TRUE,0.0965467882601214,0.0316296972850263,1.01395587806738,0.00418168821714219,201,0
3,67,"classical","primary",5,1,200,200,TRUE,0.0886838408548601,0.0263572794080088,1.01345227311121,0.00381693000605808,201,0
3,67,"stress","primary",1,0,200,200,TRUE,0.0953659741836046,0.0822784703068054,1.03911028676014,0.00659286843787806,201,0
