"replicate","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","raw_optimal_scale","stress1","stress1_identity","xg_error","xz_path_error","graph_path_error_edge_scale","procrustes","rigid_relative_rmse","similarity_scale","edge_scale","sigma2_sigma1","sigma3_sigma1","package_score_difference","independent_path_difference","selected","role"
1,32,"Original saddle",0,4.85954646339179e-17,6756.01151572227,0.0828248836527302,1.06468642713374,0.0563947779047149,0.0883230914009315,0.00775999749795819,0.00775999749795819,8.26583806407368e-17,2.15398845846951e-16,2.15398845846951e-16,1,1,0.942922456756166,0.55200135522435,0,4.44089209850063e-16,FALSE,"sparse"
1,32,"Classical MDS",0.0338637495204605,0.0736624621720291,1432.50350679637,0.0381384896996417,1.01673224135124,0.0344098262205675,0.0387996089870836,0.00775999749795819,0.0523319977998931,0.0475142032104194,0.376934619433114,0.396178202801423,0.883637018040892,0.984347358162239,0.949135720603453,0.329570570856522,0,4.44089209850063e-16,FALSE,"sparse"
1,32,"Stress MDS",0.0223549736549042,0.051767314862326,761.316728240649,0.0278034270392145,1,0.0278034270392141,0.0278141797230505,0.00775999749795819,0.0376733284933025,0.0325383287364604,0.292450824199546,0.312345219551529,0.897097875236198,1.0132397682455,0.951653975782867,0.359568467740211,0,4.44089209850063e-16,FALSE,"sparse"
1,32,"Classical MDS + edge-KK",0.00199472907368355,0.00485481073426301,1968.97427633026,0.0447131910259643,1.02790418311911,0.0355423453556012,0.0459899338590976,0.00775999749795819,0.00896362089411192,0.00227785574226693,0.403819983791926,0.421829515185485,0.882384987202147,1.02520531931541,0.94529500080981,0.404819150203167,0,4.44089209850063e-16,FALSE,"sparse"
1,32,"Stress MDS + edge-KK",0.00156795859771225,0.00426105762610759,1514.24144287666,0.039211477590552,1.00842473245773,0.0383124949752844,0.0395708764651798,0.00775999749795819,0.0087644783290031,0.00185046854923034,0.300633561281626,0.317775053552364,0.902565869502768,1.0472623514532,0.952448906760915,0.452068794092433,0,4.44089209850063e-16,FALSE,"sparse"
1,66,"Original saddle",0,4.97426774912106e-17,5988.59153048236,0.0784498352254534,1.05832579863696,0.055916083785177,0.0831555837643052,0.0022118976362733,0.0022118976362733,7.2723319783014e-17,2.15398845846951e-16,2.15398845846951e-16,1,1,0.942922456756166,0.55200135522435,0,4.44089209850063e-16,FALSE,"nearby"
1,66,"Classical MDS",0.0351097014759175,0.0721106215082455,1434.39641425048,0.038394081753312,1.01686035219474,0.0346339797279169,0.0390648559165504,0.0022118976362733,0.0469015150035301,0.0467574039680248,0.363219809599335,0.37953421825948,0.894335102341464,0.980729347643187,0.948944170906289,0.327172323935246,0,2.22044604925031e-16,FALSE,"nearby"
1,66,"Stress MDS",0.0229193642883544,0.0512343128469684,755.719048733571,0.0278682613343381,1.00000000000001,0.0278682613343385,0.0278790894450037,0.0022118976362733,0.0311396718779437,0.0309046083461757,0.270949723809784,0.287782340367221,0.908473481578507,1.01048236155571,0.951308102655451,0.357743815011781,0,8.88178419700125e-16,FALSE,"nearby"
1,66,"Classical MDS + edge-KK",0.00236385528993894,0.00359528317714569,3422.59842079395,0.0593072330451869,1.03787028133886,0.0467851998095794,0.0616206909665708,0.0022118976362733,0.00267170923900383,0.00241915632357537,0.414299062417104,0.428665647186219,0.892129923486865,1.01548945082785,0.944466619998835,0.499024925230527,0,4.44089209850063e-16,FALSE,"nearby"
1,66,"Stress MDS + edge-KK",0.00178040234804838,0.00237927345224079,2767.57107130996,0.0533309206616658,1.01381374055431,0.0515657437963729,0.0541396474389562,0.0022118976362733,0.00232976273336656,0.00177627708708265,0.281102332277476,0.2935202431632,0.919099245332615,1.04195643623631,0.944695536365807,0.535319808062252,0,4.44089209850063e-16,FALSE,"nearby"
1,71,"Original saddle",0,4.94752848645678e-17,5932.27383656704,0.0781112901692977,1.05790956112973,0.0558057345402896,0.0827636557960219,0.0021673854259394,0.0021673854259394,7.07648343831833e-17,2.15398845846951e-16,2.15398845846951e-16,1,1,0.942922456756166,0.55200135522435,0,4.44089209850063e-16,TRUE,"selected"
1,71,"Classical MDS",0.0350634340856013,0.072064492311731,1431.83629589823,0.038375133535947,1.01690891843214,0.0345904502686162,0.0390473826124932,0.0021673854259394,0.0461163953704265,0.0462176604090089,0.352154107908385,0.36758242414392,0.898804264083636,0.981145988249664,0.948860282761146,0.326908200465614,0,4.44089209850063e-16,TRUE,"selected"
1,71,"Stress MDS",0.0229371626453587,0.0513100187763826,754.661683192069,0.0278598879924056,0.999999999999942,0.0278598879924062,0.0278707063419201,0.0021673854259394,0.0304875504230707,0.030508942121648,0.26706104091889,0.283612568709388,0.909861789805197,1.01084225929929,0.951200858531201,0.357818122823147,0,8.88178419700125e-16,TRUE,"selected"
1,71,"Classical MDS + edge-KK",0.00257232269420753,0.00399532282392437,3365.12530799216,0.0588306756992371,1.03756480324847,0.046401343668987,0.0611064575937722,0.0021673854259394,0.00262973400716173,0.00265440650917544,0.397778063380216,0.410801448932929,0.899403995376091,1.01483263152381,0.944921135786865,0.497268504305618,0,4.44089209850063e-16,TRUE,"selected"
1,71,"Stress MDS + edge-KK",0.0020133718415621,0.00260727640228899,2821.06910660501,0.053865423489988,1.01377727324503,0.052127694442196,0.0546818861355556,0.0021673854259394,0.00234763094908083,0.0020073741397987,0.27544646085013,0.28751425659232,0.921030284392432,1.04170683462298,0.944182342398084,0.538623559124122,0,4.44089209850063e-16,TRUE,"selected"
1,76,"Original saddle",0,4.96882738038365e-17,5882.7354740447,0.0778119676783528,1.05754144216333,0.0557079778527285,0.0824173660433029,0.0021891885745556,0.0021891885745556,6.98188764737232e-17,2.15398845846951e-16,2.15398845846951e-16,1,1,0.942922456756166,0.55200135522435,0,2.22044604925031e-16,FALSE,"nearby"
1,76,"Classical MDS",0.0349451495176872,0.0721084621333785,1425.58985556702,0.0383048737961634,1.01693961154221,0.0344981628641776,0.0389769440668882,0.0021891885745556,0.0455435663815826,0.0458810478615161,0.339830818017193,0.354362029690038,0.903512201203243,0.98123506707566,0.94891222828271,0.326760715469904,0,4.44089209850063e-16,FALSE,"nearby"
1,76,"Stress MDS",0.022941842074793,0.0515025936782615,753.155418246652,0.0278419109478535,0.999999999999968,0.0278419109478532,0.0278527083606178,0.0021891885745556,0.0298694059533151,0.0301312534235339,0.263125549623717,0.279416704809,0.911204944557246,1.01119415665658,0.951222023422195,0.357940637415181,0,4.44089209850063e-16,FALSE,"nearby"
1,76,"Classical MDS + edge-KK",0.00273092705996901,0.00429338983992214,3372.34167493644,0.0589145442490453,1.03746390153488,0.0465805281477563,0.0611881303188787,0.0021891885745556,0.00260823738065348,0.00282046573492447,0.380502762896868,0.392194909282088,0.906798210422318,1.01459528017825,0.944648156061172,0.497237060247941,0,4.44089209850063e-16,FALSE,"nearby"
1,76,"Stress MDS + edge-KK",0.00216435160926339,0.00273776240239837,2868.27537163438,0.0543334346588048,1.0137273920192,0.0526237364392171,0.0551557141529508,0.0021891885745556,0.00236483919423784,0.0021685103293371,0.270230213224679,0.281994145515962,0.922752388963459,1.04148109858183,0.943955280669703,0.541355526869232,0,4.44089209850063e-16,FALSE,"nearby"
1,80,"Original saddle",0,4.98763151046202e-17,5841.52786069343,0.0775603247876299,1.05725622295671,0.055604454209674,0.0821281985812299,0.0023146020371499,0.0023146020371499,6.89758709986609e-17,2.15398845846951e-16,2.15398845846951e-16,1,1,0.942922456756166,0.55200135522435,0,2.22044604925031e-16,FALSE,"dense"
1,80,"Classical MDS",0.0347907577002164,0.0719297673686994,1415.8748166856,0.0381846506402665,1.01696930323601,0.0343506688302792,0.0388555484830222,0.0023146020371499,0.0449782773803119,0.0454788992885807,0.325108788003472,0.338686107764318,0.908770452291596,0.98144172896674,0.948947751025329,0.326655686777234,0,2.22044604925031e-16,FALSE,"dense"
1,80,"Stress MDS",0.0229588065290796,0.0513930142378659,751.091770650035,0.0278114027720435,1,0.0278114027720441,0.0278221647157095,0.0023146020371499,0.0294305922533848,0.029860033308211,0.257246433100538,0.273249573488756,0.912951956994622,1.01148779795212,0.951215402026902,0.358111220929352,0,2.22044604925031e-16,FALSE,"dense"
1,80,"Classical MDS + edge-KK",0.00287702591548165,0.00456062138775393,3312.8881838566,0.0584090014656262,1.03721127680384,0.0461220375374146,0.06064701477723,0.0023146020371499,0.00268787949496867,0.00296800136507564,0.358012468205684,0.368220705493875,0.91557124432571,1.01425551869886,0.944660771026024,0.494502946298747,0,4.44089209850063e-16,FALSE,"dense"
1,80,"Stress MDS + edge-KK",0.00218395806357404,0.00265479349474279,2933.09411267775,0.0549590721298138,1.01368413691325,0.0532802297748516,0.0557903842710425,0.0023146020371499,0.00238886383224488,0.00219125837466451,0.261833826285102,0.273205904726626,0.925220901933591,1.04152002821428,0.943954676730584,0.545378305247827,0,2.22044604925031e-16,FALSE,"dense"
2,32,"Original saddle",0,2.27164361427073e-16,6550.90224328228,0.0823215849938812,1.06400358516828,0.0563015509616507,0.0877296174402047,0.0073431223941501,0.00734312239414993,2.36592329185826e-16,1.5271853765718e-15,1.79901827649064e-16,0.999999999999998,1,0.939811447046768,0.551314430509982,0,2.22044604925031e-16,FALSE,"sparse"
2,32,"Classical MDS",0.0337664817328891,0.0715267572031959,1367.4942087364,0.0376119553755221,1.01631048172006,0.0340205216605726,0.0382475646813893,0.0073431223941501,0.0519017336061101,0.0471621288662958,0.337392407813516,0.353838144414425,0.898261930736084,0.984094860727048,0.942998660338222,0.328441943519106,0,2.22044604925031e-16,FALSE,"sparse"
2,32,"Stress MDS",0.0222709149527759,0.050964185541742,736.380533658752,0.0276003324947906,1.00000000000002,0.0276003324947917,0.0276108511727755,0.0073431223941501,0.0367461003918632,0.0318504871047642,0.249077791763943,0.267228103398438,0.909128320639015,1.01277431005629,0.946021838720814,0.358435961625621,0,4.44089209850063e-16,FALSE,"sparse"
2,32,"Classical MDS + edge-KK",0.00213329477619594,0.00534282624679633,1864.85820820616,0.0439224009875007,1.02771456229708,0.0346817431349182,0.0451668631570115,0.0073431223941501,0.00867391744746349,0.00249283356240044,0.358727029706416,0.373190573897415,0.900718162803906,1.02445222124027,0.941988518357963,0.405667500249378,0,4.44089209850063e-16,FALSE,"sparse"
2,32,"Stress MDS + edge-KK",0.00183305665106264,0.00489881256172245,1408.64079070174,0.038173615467388,1.0083336344243,0.0372694721686974,0.0385185010793775,0.0073431223941501,0.00857064869048644,0.00219678332148895,0.245995388384886,0.26088702607411,0.917738160842004,1.04559166416719,0.94410721395746,0.444252978976735,0,4.44089209850063e-16,FALSE,"sparse"
2,65,"Original saddle",0,4.95445023313927e-17,5826.12750417993,0.0780784582892444,1.05798588643144,0.0556926117940962,0.0827343136960798,0.00206092940511671,0.00206092940513271,4.67660459204861e-12,1.5271853765718e-15,1.79901827649064e-16,0.999999999999998,1,0.939811447046768,0.551314430509982,0,4.44089209850063e-16,FALSE,"nearby"
2,65,"Classical MDS",0.0339653284159529,0.0715726028292121,1307.77268314118,0.0369919621163694,1.01601868304072,0.0334680866049951,0.0376055917863658,0.00206092940511671,0.0461277765122283,0.046059821541897,0.29677202606649,0.30937182221916,0.916158270038787,0.980680416122188,0.943221765717175,0.329062518965838,0,4.44089209850063e-16,FALSE,"nearby"
2,65,"Stress MDS",0.0226318150496555,0.0509224152551443,706.348922161904,0.0271863485298746,0.999999999999989,0.0271863485298736,0.0271964007841625,0.00206092940511671,0.030130796880484,0.0300521050002418,0.234522951488883,0.250184619269861,0.917744486436763,1.0104825150032,0.946149784106947,0.359096966493646,0,4.44089209850063e-16,FALSE,"nearby"
2,65,"Classical MDS + edge-KK",0.00221749084341268,0.00351240152817274,3016.6849349506,0.0561831667048785,1.03526990124246,0.0447014245433288,0.0582229415809154,0.00206092940511671,0.00247072497721858,0.00224760163337178,0.315319980869637,0.323777995972284,0.92809626677308,1.01680822535413,0.947120108383687,0.493853888334232,0,4.44089209850063e-16,FALSE,"nearby"
2,65,"Stress MDS + edge-KK",0.00156511741364883,0.00219711682226326,2662.13880006187,0.0527784442622674,1.01326004640435,0.0511346751795149,0.0535483426040726,0.00206092940511671,0.00219355983891796,0.00156059365121904,0.227499898685331,0.23820793440265,0.932384434209267,1.04195537364341,0.945778052806377,0.537795005536151,0,4.44089209850063e-16,FALSE,"nearby"
2,70,"Original saddle",0,4.9811717405716e-17,5778.903820214,0.077789709133354,1.05760482714571,0.0556213590984981,0.0823983299387028,0.00204721002303402,0.00204721002303402,7.15115159119797e-17,1.5271853765718e-15,1.79901827649064e-16,0.999999999999998,1,0.939811447046768,0.551314430509982,0,4.44089209850063e-16,TRUE,"selected"
2,70,"Classical MDS",0.0339072486029618,0.0713324084207198,1302.04369050033,0.0369242933877045,1.01600059488715,0.0334015194204555,0.037536048653262,0.00204721002303402,0.0454891036200641,0.0457076450296929,0.291378059921424,0.303627680057974,0.918066409529715,0.980880493352358,0.94313364977439,0.329064265546403,0,4.44089209850063e-16,TRUE,"selected"
2,70,"Stress MDS",0.0226391523387603,0.0508113762428522,704.081245003935,0.0271525612691756,1.00000000000005,0.0271525612691762,0.0271625760773249,0.00204721002303402,0.0296539566361867,0.0298399346858297,0.232041655159009,0.247517362640908,0.918640142615829,1.01054734444,0.946053423796494,0.359122596787543,0,4.44089209850063e-16,TRUE,"selected"
2,70,"Classical MDS + edge-KK",0.00237553509052991,0.00382855750924334,3028.72284527019,0.0563156603650359,1.03532689114304,0.0448276419844586,0.0583637885851814,0.00204721002303402,0.00245793711441343,0.00243003798712937,0.306706213614467,0.314652853315831,0.931248668419878,1.01635717904348,0.946446533756506,0.495413368832812,0,4.44089209850063e-16,TRUE,"selected"
2,70,"Stress MDS + edge-KK",0.00164074746054837,0.0022719135760566,2717.18950233914,0.0533407820064776,1.01324563513339,0.0517185299625099,0.0541197429238552,0.00204721002303402,0.00213083813561515,0.0016330764937714,0.223241615027587,0.233731399493839,0.933682423898033,1.04179700180784,0.945680410691456,0.541252364016862,0,4.44089209850063e-16,TRUE,"selected"
2,75,"Original saddle",0,5.0447239739421e-17,5737.8701138037,0.0775390153728412,1.0572531305307,0.0555773346278509,0.0821052698387866,0.00210375027136822,0.00210375027136822,7.04827495471249e-17,1.5271853765718e-15,1.79901827649064e-16,0.999999999999998,1,0.939811447046768,0.551314430509982,0,4.44089209850063e-16,FALSE,"nearby"
2,75,"Classical MDS",0.0338938335767812,0.0711365823573,1298.67170542975,0.03688880737257,1.01600014978424,0.0333624802203166,0.037499909358845,0.00210375027136822,0.045273880963333,0.045727402161962,0.287797701550427,0.299789770557501,0.919412408592493,0.980640171413818,0.943091398491049,0.329008186609824,0,4.44089209850063e-16,FALSE,"nearby"
2,75,"Stress MDS",0.0224828272916106,0.0501376252085677,702.596798317845,0.0271330121008925,0.999999999999948,0.0271330121008923,0.0271430052854134,0.00210375027136822,0.0288744104987523,0.0292614595709546,0.197408639060833,0.212325383866853,0.926142055699011,1.01111905412247,0.945880472783609,0.357514507187463,0,4.44089209850063e-16,FALSE,"nearby"
2,75,"Classical MDS + edge-KK",0.00252662234190434,0.00411923399347361,2979.64634233748,0.0558762543262433,1.0349488465847,0.0445431835390769,0.0578865196623627,0.00210375027136822,0.00255326979855199,0.00261488561802527,0.301086429210029,0.308784785055182,0.932962553820976,1.01602746556124,0.946075444627246,0.492527714255527,0,4.44089209850063e-16,FALSE,"nearby"
2,75,"Stress MDS + edge-KK",0.00158202827394678,0.00241913422820741,2751.13677053819,0.0536909410608102,1.01279842851964,0.0521868364569474,0.0544523007790543,0.00210375027136822,0.00230356418434212,0.00160769571777641,0.161232569605909,0.171067520844606,0.945246006123415,1.04257610659316,0.943789424852201,0.541823135067275,0,8.88178419700125e-16,FALSE,"nearby"
2,80,"Original saddle",0,5.04410667811051e-17,5685.30279930207,0.0772105395308548,1.05688433575376,0.0554390769483687,0.0817283020488263,0.00229168523395202,0.00229168523395202,6.90708198313307e-17,1.5271853765718e-15,1.79901827649064e-16,0.999999999999998,1,0.939811447046768,0.551314430509982,0,4.44089209850063e-16,FALSE,"dense"
2,80,"Classical MDS",0.0337740092311009,0.0706684220541517,1290.81599771241,0.0367901837326344,1.0159958828277,0.0332553282848504,0.0373993612137136,0.00229168523395202,0.0446848080955898,0.0453867171307223,0.278614714064502,0.29011334989994,0.922337417461235,0.980775082781963,0.943134938950448,0.329042318516103,0,4.44089209850063e-16,FALSE,"dense"
2,80,"Stress MDS",0.0224413300867784,0.0499266385265438,698.231294539509,0.0270582336156467,1.00000000000003,0.0270582336156476,0.0270681443739849,0.00229168523395202,0.0283831019392537,0.0289931013817374,0.194936793832507,0.209706977859625,0.926937835153022,1.01126037219933,0.945908468272773,0.357737034621731,0,2.22044604925031e-16,FALSE,"dense"
2,80,"Classical MDS + edge-KK",0.00258559732921616,0.00417621261976213,3050.63017582314,0.0565580683041343,1.0350068757961,0.0453561872368087,0.0585982943355651,0.00229168523395202,0.00253449470092953,0.00267741194417678,0.287288259186546,0.294290216070538,0.937539077221133,1.01598934815527,0.947416628857137,0.49729202286693,0,2.22044604925031e-16,FALSE,"dense"
2,80,"Stress MDS + edge-KK",0.00154955352688979,0.00239919866063087,2741.21786391577,0.0536131795287252,1.01277512643306,0.0521123075430028,0.0543719736511072,0.00229168523395202,0.00233862827591631,0.00156377095596915,0.156528678450843,0.166266943995208,0.946282935757027,1.04202821146462,0.943069810782942,0.542029756638564,0,2.22044604925031e-16,FALSE,"dense"
3,32,"Original saddle",0,4.96260029380723e-17,7186.41121212942,0.0834513338217889,1.06518670224215,0.0568427567242223,0.0890352082361781,0.00700880041578622,0.0070088004157899,1.82568705963683e-12,4.24169993337792e-16,2.8557931254801e-16,1,1,0.996347174885669,0.565450737099319,0,4.44089209850063e-16,FALSE,"sparse"
3,32,"Classical MDS",0.0349708588399778,0.0750439347663316,1620.0992376925,0.0396230642990381,1.01757214642544,0.0356673330970056,0.0403449973723523,0.00700880041578622,0.0511540605146751,0.0472386567781644,0.416351223978248,0.438819890930834,0.867709608680508,0.983014593199535,0.997561526748775,0.344116118362881,0,4.44089209850063e-16,FALSE,"sparse"
3,32,"Stress MDS",0.022963857876054,0.0538081137086665,851.601717181924,0.0287273466237814,1.00000000000003,0.0287273466237818,0.0287392077370825,0.00700880041578622,0.0369286737167124,0.0326357657113743,0.391649565853459,0.418102548325267,0.862765233373411,1.01296841243091,0.997417922261676,0.376935291905048,0,4.44089209850063e-16,FALSE,"sparse"
3,32,"Classical MDS + edge-KK",0.00208264197124627,0.00539079369456065,2276.33240877937,0.0469672455458827,1.02974252064608,0.0370514981988273,0.048397401528921,0.00700880041578622,0.0083230854285273,0.00248269314410025,0.452354609927244,0.474584201714046,0.861359621739669,1.02433728514042,0.991610357004238,0.426884393356972,0,4.44089209850063e-16,FALSE,"sparse"
3,32,"Stress MDS + edge-KK",0.00183874135869576,0.00440494513879079,1695.12694631048,0.0405301642914543,1.00864592703233,0.039614814158573,0.0409127005752436,0.00700880041578622,0.00803526554792482,0.00209592620578201,0.41973322465303,0.445491915225804,0.858753484427036,1.04766735084698,0.997580728384847,0.466532964414594,0,4.44089209850063e-16,FALSE,"sparse"
3,62,"Original saddle",0,5.05171207959857e-17,6465.5750268297,0.0795760272658833,1.05958401428978,0.0563933063052175,0.0844518804930204,0.00221546133314776,0.0022154613327307,9.48258473968497e-11,4.24169993337792e-16,2.8557931254801e-16,1,1,0.996347174885669,0.565450737099319,0,2.22044604925031e-16,FALSE,"nearby"
3,62,"Classical MDS",0.0365036152878994,0.0739405336652017,1604.18444000842,0.0396374608134629,1.01754151585056,0.0356976176160826,0.0403584849683806,0.00221546133314776,0.0483408407398347,0.0481921497372169,0.407699747566694,0.427680800158038,0.87604806270744,0.978135149954159,0.996843170380193,0.341006568564577,0,4.44089209850063e-16,FALSE,"nearby"
