"start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","replicate","k","selected","elapsed"
1,"classical",1166.09429556256,762.738819780371,0.000774474527353063,63,TRUE,"stress_tolerance",0.0278293824464912,"","",1,32,FALSE,2.441
2,"random",287658.059140098,811.095745307968,0.000823575485729636,228,TRUE,"stress_tolerance",0.0286980049085238,"","",1,32,FALSE,5.69
3,"random",287866.148550664,810.529251503277,0.000823000275696714,366,TRUE,"stress_tolerance",0.0286879813806534,"","",1,32,FALSE,8.856
4,"random",290239.500531286,809.643116741109,0.000822100506623339,261,TRUE,"stress_tolerance",0.0286722951056134,"","",1,32,FALSE,6.43299999999999
5,"random",289365.158810624,761.316728240613,0.000773030555124897,250,TRUE,"stress_tolerance",0.0278034270392147,"","",1,32,TRUE,5.81100000000001
6,"random",291362.1352615,807.526045399213,0.000819950861444194,251,TRUE,"stress_tolerance",0.028634784117297,"","",1,32,FALSE,5.92800000000003
1,"classical",1167.20037146198,766.276080447917,0.000787489276999919,79,TRUE,"stress_tolerance",0.0280622393439985,"","",1,66,FALSE,2.529
2,"random",284417.609562339,780.30117469466,0.000801902634809244,235,TRUE,"stress_tolerance",0.0283178854226299,"","",1,66,FALSE,5.34400000000005
3,"random",284616.45689146,781.940389362326,0.000803587228660501,366,TRUE,"stress_tolerance",0.0283476141616977,"","",1,66,FALSE,8.08600000000001
4,"random",286975.342123562,782.071662819034,0.000803722136224694,258,TRUE,"stress_tolerance",0.0283499935842093,"","",1,66,FALSE,6.03100000000001
5,"random",286125.348948858,755.719048733597,0.000776639989798998,248,TRUE,"stress_tolerance",0.0278682613343379,"","",1,66,TRUE,5.74599999999998
6,"random",288103.13675092,783.647379002153,0.000805341473731713,239,TRUE,"stress_tolerance",0.0283785389640081,"","",1,66,FALSE,5.62299999999999
1,"classical",1163.33822511433,761.294678152069,0.000782995427821668,573,TRUE,"stress_tolerance",0.0279820554609858,"","",1,71,FALSE,18.333
2,"random",284201.351953264,777.721222162919,0.000799890211437688,259,TRUE,"stress_tolerance",0.0282823303749476,"","",1,71,FALSE,7.37
3,"random",284401.207932841,779.114844210025,0.000801323558763383,385,TRUE,"stress_tolerance",0.0283076590124197,"","",1,71,FALSE,10.856
4,"random",286752.379397935,780.24456745959,0.00080248548484076,274,TRUE,"stress_tolerance",0.0283281747530751,"","",1,71,FALSE,7.809
5,"random",285909.121309372,754.661683192113,0.000776173358949445,254,TRUE,"stress_tolerance",0.0278598879924064,"","",1,71,TRUE,7.412
6,"random",287885.027411078,782.636938914454,0.000804946050984946,250,TRUE,"stress_tolerance",0.0283715711758255,"","",1,71,FALSE,7.285
1,"classical",1156.32112782372,756.118965232615,0.000778222183988189,808,TRUE,"stress_tolerance",0.0278966339185964,"","",1,76,FALSE,17.829
2,"random",284010.303115416,765.7003569163,0.000788083663338108,1000,FALSE,"iteration_limit",0.028072827847193,"Iteration limit reached! You may want to increase the itmax argument!","",1,76,FALSE,22.292
3,"random",284203.175641805,768.784285607968,0.000791257742857402,1000,FALSE,"iteration_limit",0.028129303988144,"Iteration limit reached! You may want to increase the itmax argument!","",1,76,FALSE,22.046
4,"random",286554.303497725,769.248353248549,0.000791735376337551,1000,FALSE,"iteration_limit",0.0281377926699587,"Iteration limit reached! You may want to increase the itmax argument!","",1,76,FALSE,21.985
5,"random",285716.443911469,753.155418246642,0.000775172005228203,263,TRUE,"stress_tolerance",0.0278419109478537,"","",1,76,TRUE,6.21299999999997
6,"random",287685.51778454,772.64580754857,0.000795232146590561,1000,FALSE,"iteration_limit",0.0281998607548085,"Iteration limit reached! You may want to increase the itmax argument!","",1,76,FALSE,21.782
1,"classical",1145.82319442369,751.361654858673,0.000773752050841747,861,TRUE,"stress_tolerance",0.0278163989553235,"","",1,80,FALSE,19.054
2,"random",283850.674706243,760.595672473291,0.000783261239952766,1000,FALSE,"iteration_limit",0.0279868047471087,"Iteration limit reached! You may want to increase the itmax argument!","",1,80,FALSE,21.2439999999999
3,"random",284050.152315426,763.114752686825,0.000785855388148714,1000,FALSE,"iteration_limit",0.0280331123521582,"Iteration limit reached! You may want to increase the itmax argument!","",1,80,FALSE,21.4209999999999
4,"random",286396.596334993,764.01663635707,0.000786784147734675,1000,FALSE,"iteration_limit",0.0280496728632387,"Iteration limit reached! You may want to increase the itmax argument!","",1,80,FALSE,21.154
5,"random",285560.588217925,751.091770650035,0.000773474124148825,302,TRUE,"stress_tolerance",0.0278114027720435,"","",1,80,TRUE,6.73800000000006
