"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error","selected","role","within_one_percent","plateau_min","plateau_max","reference_fine_difference"
1,32,17865,0,1,0.393,0.00775999749795819,0.00471780268538814,1.0061388749931,0.00637968869331352,0.0899251737039017,0.00769385692138825,0.0077677554460022,0.0077918470252047,0.00774809325433409,,0.00773025264122071,FALSE,"sparse",FALSE,71,72,2.27929372380327e-05
1,66,36991,0,1,0.593999999999999,0.0022118976362733,0.00220636221218743,1.00015159451038,0.000140289370725914,0.546048236237306,0.00220568939580611,0.00224185846186261,0.00225375697944334,0.00221430847926969,,0.0022128395608731,FALSE,"nearby",FALSE,71,72,2.27929372380327e-05
1,71,39874,0,1,0.663,0.0021673854259394,0.00215581133374525,0.999771615053422,-0.000239255820518795,0.600372461250668,0.00217551151171335,0.00218639331622218,0.0022197274791647,0.00218453133846823,,0.00218670227205634,TRUE,"selected",TRUE,71,72,2.27929372380327e-05
1,76,42758,0,1,0.677999999999997,0.0021891885745556,0.00210989986035676,0.999411692628986,-0.000590462749295922,0.647957308925708,0.00221075931464416,0.0022266832321279,0.00220836415946085,0.00218024619610908,,0.00218622204413152,FALSE,"nearby",FALSE,71,72,2.27929372380327e-05
1,80,45078,0,1,0.696000000000002,0.0023146020371499,0.00215174174813989,0.999142487792835,-0.000853222235501404,0.679883752004276,0.00234442946896163,0.00232633387047903,0.00233010355597662,0.00231710995486988,,0.00232531883774111,FALSE,"dense",FALSE,71,72,2.27929372380327e-05
2,32,17870,0,1,0.378,0.0073431223941501,0.00443661991380592,1.00583160414986,0.00602798306521994,0.0874365312667023,0.00727731683461935,0.00715384373444881,0.0072290396210749,0.0074108714138882,,0.00739360031423658,FALSE,"sparse",FALSE,64,71,2.30578015892928e-05
2,65,36525,0,1,0.582000000000001,0.00206092940511671,0.00205895590450945,1.00008602994476,9.30704597178072e-05,0.540803714591128,0.00205913152733978,0.00198506789572955,0.00203075792417412,0.0020007444056565,,0.00199949250114511,FALSE,"nearby",TRUE,64,71,2.30578015892928e-05
2,70,39409,0,1,0.616999999999997,0.00204721002303402,0.00202614193123888,0.999702919931428,-0.000282921039791295,0.594743786745056,0.00206084625618973,0.00198312445511194,0.00200805266211436,0.00200868361353672,,0.00201176550878987,TRUE,"selected",TRUE,64,71,2.30578015892928e-05
2,75,42301,0,1,0.645999999999994,0.00210375027136822,0.00200988869942136,0.999374568877522,-0.000602085651278214,0.641510221806521,0.00212989261225619,0.00205177204690996,0.0020789791730081,0.0020605249751681,,0.00206659033596323,FALSE,"nearby",FALSE,64,71,2.30578015892928e-05
2,80,45188,0,1,0.679000000000002,0.00229168523395202,0.00206912454345599,0.999010549208724,-0.000956901522325719,0.686940473009086,0.00232834511061239,0.00223801762361139,0.00226532583707763,0.00223689056288081,,0.00224611633191838,FALSE,"dense",FALSE,64,71,2.30578015892928e-05
3,32,17711,0,1,0.374000000000002,0.00700880041578622,0.00441937580983342,1.00542034120748,0.00567069336812366,0.0916288081239979,0.00694621273483266,0.00711000492104488,0.00708030499871118,0.00710118478775361,,0.00708462907646836,FALSE,"sparse",FALSE,65,68,2.22919839383254e-05
3,62,34319,0,1,0.569999999999993,0.00221546133314776,0.00220682036483097,1.0001906710813,0.000225605636954146,0.516176175841796,0.00221015579762292,0.00216148838589121,0.00222017473939643,0.00204419301734804,,0.00204277080816549,FALSE,"nearby",FALSE,65,68,2.22919839383254e-05
3,67,37152,0,1,0.588999999999999,0.00212539219729216,0.00211009504162143,0.999740968564879,-0.000224944511229078,0.579728420630679,0.0021371401156271,0.00205424686045636,0.0021092448248121,0.00200124611621489,,0.00200427639223238,TRUE,"selected",TRUE,65,68,2.22919839383254e-05
3,72,39966,0,1,0.617999999999995,0.00221872948067198,0.00212388819927724,0.999353711965124,-0.000599675940480996,0.634812600213789,0.00224447994712089,0.00216068616659738,0.00219333896502885,0.00211370564020315,,0.00212095561536973,FALSE,"nearby",FALSE,65,68,2.22919839383254e-05
3,80,44490,0,1,0.665999999999997,0.0024307681325254,0.00213764739950284,0.998838230384683,-0.00110847288261256,0.699834647247461,0.00247184780775908,0.00242030608063506,0.00243579681282876,0.00236059767779195,,0.00237119968816209,FALSE,"dense",FALSE,65,68,2.22919839383254e-05
4,32,17751,0,1,0.378,0.0081396073066725,0.00507673303974686,1.00633658626175,0.00664721416548508,0.0862840726884019,0.00807507653739746,0.00844413371880656,0.00813381700307268,0.00878954116483331,,0.00877208286905613,FALSE,"sparse",FALSE,70,73,2.4168700567281e-05
4,67,37481,0,1,0.590000000000003,0.00208195477811295,0.00208180329871006,0.999970180756766,-1.70943954391219e-05,0.55220303313736,0.00208472235469258,0.00216098823032571,0.00203685765855601,0.00212641541126759,,0.00212730566998182,FALSE,"nearby",FALSE,70,73,2.4168700567281e-05
