"replicate","k","method","path_rel","edge_rel","stress1","xg_error","xz_path_error","graph_path_error_edge_scale","procrustes","edge_scale","package_score_difference","independent_path_difference"
1,71,"Additional 1000 steps",0.00245799880323222,0.00296199592306247,0.0510613945500493,0.0021673854259394,0.0023839951384352,0.0024618751208867,0.40675301383243,1.01428435861254,0,4.44089209850063e-16
2,70,"Additional 1000 steps",0.00224036493574578,0.00310456150336604,0.0482464919404712,0.00204721002303402,0.00230810862041139,0.00225282282882155,0.309142630731008,1.01498585957225,0,4.44089209850063e-16
3,67,"Additional 1000 steps",0.00269523186057365,0.00283151668842366,0.0542362898952449,0.00212539219729216,0.00220251982257783,0.0027394157429053,0.487158940703376,1.01198138600983,0,2.22044604925031e-16
4,72,"Additional 1000 steps",0.00201519130798781,0.00273547851610514,0.0509635103993799,0.00203231329713091,0.00221367398393215,0.0020455153315313,0.307835760334991,1.01433593078589,0,2.22044604925031e-16
5,73,"Additional 1000 steps",0.00214176655129031,0.00250956731398386,0.0530686345358514,0.00211089482590296,0.00226184957220211,0.00218214749769959,0.303874111963293,1.01457073842905,0,4.44089209850063e-16
