"replicate","k","method","path_rel","edge_rel","stress1","xg_error","xz_path_error","graph_path_error_edge_scale","procrustes","edge_scale","package_score_difference","independent_path_difference"
1,71,"Original saddle",0,4.94752848645678e-17,0.0558057345402896,0.0021673854259394,0.0021673854259394,0,3.03586642324833e-16,1,0,4.44089209850063e-16
1,71,"Metric MDS",0.0350634340856013,0.0720644923117309,0.0345904502686162,0.0021673854259394,0.0461163953704267,0.0462176604090091,0.352154107908384,0.981145988249663,0,2.22044604925031e-16
1,71,"MDS + edge-KK",0.00257232269420757,0.00399532282392434,0.0464013436689869,0.0021673854259394,0.00262973400716193,0.00265440650917568,0.397778063380214,1.01483263152381,0,2.22044604925031e-16
2,70,"Original saddle",0,4.9811717405716e-17,0.0556213590984981,0.00204721002303402,0.00204721002303402,0,4.65737062686098e-15,1,0,4.44089209850063e-16
2,70,"Metric MDS",0.0339072486030559,0.0713324084217013,0.0334015194207645,0.00204721002303402,0.0454891036205997,0.045707645030235,0.291378059932556,0.980880493350708,0,4.44089209850063e-16
2,70,"MDS + edge-KK",0.00237553509107719,0.00382855750947994,0.0448276419858872,0.00204721002303402,0.00245793711470956,0.00243003798766314,0.306706213634034,1.01635717904006,0,2.22044604925031e-16
3,67,"Original saddle",0,5.04400350841902e-17,0.0563121159522901,0.00212539219729216,0.00212539219707032,5.47749302312978e-11,2.01285526373698e-15,1,0,4.44089209850063e-16
3,67,"Metric MDS",0.0365641751702063,0.0739898371689036,0.0357567424900721,0.00212539219729216,0.0482062337741616,0.0483764496184338,0.405728246015193,0.97754400212293,0,2.22044604925031e-16
3,67,"MDS + edge-KK",0.00291978990442529,0.00381693000443782,0.0491308248411815,0.00212539219729216,0.00263390237291301,0.00297643267623574,0.476136200462496,1.01345227311729,0,2.22044604925031e-16
4,72,"Original saddle",0,4.9838857105727e-17,0.0561999544730298,0.00203231329713091,0.00203231329711544,1.96423629880967e-11,3.25562708756259e-15,1,0,4.44089209850063e-16
4,72,"Metric MDS",0.0345066320974341,0.0708767669838103,0.0346029709100022,0.00203231329713091,0.0454932944514308,0.0457967174953903,0.291900100343645,0.979525397398105,0,4.44089209850063e-16
4,72,"MDS + edge-KK",0.00215489531609996,0.00368142374386173,0.047152165265426,0.00203231329713091,0.00238346440090659,0.00224180733624954,0.304925393180578,1.01501534027352,0,4.44089209850063e-16
5,73,"Original saddle",0,4.99867337281104e-17,0.0561782582208952,0.00211089482590296,0.0021108948259027,6.27184271873763e-12,4.350795369873e-15,1,0,4.44089209850063e-16
5,73,"Metric MDS",0.0344951034849137,0.0710052178729624,0.0343870157149012,0.00211089482590296,0.0455297080715048,0.0458895760207253,0.287197224777743,0.978959506559606,0,4.44089209850063e-16
5,73,"MDS + edge-KK",0.00244741194372271,0.00371671017496164,0.0490855409068446,0.00211089482590296,0.00253376240777788,0.00253006929542291,0.300648996640763,1.01512424555133,0,4.44089209850063e-16
