"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
1,13,7389,0,1,0.24,0.0348718170024339,0.0145477485121996,1.03147813611281,0.0334316738784618,0.0171532602886157,0.0347949152027566,0.0344809547282958,0.0349811402261579,0.0338859058414296,NA,0.0338651833992126
1,14,7958,0,1,0.235,0.0308839184282312,0.01310084109571,1.02779408357959,0.0294594710343375,0.0189404061998931,0.0308076323506268,0.030598801122729,0.0312807061365012,0.0300698593066103,NA,0.0300493200546263
1,15,8507,0,1,0.257,0.0272939991837895,0.011720396092235,1.02451077726095,0.0257950890695872,0.0208277659005879,0.0272181725729266,0.0271307487291994,0.0274035755417495,0.0270679205346273,NA,0.0270475918720538
1,16,9077,0,1,0.248,0.0243786861696402,0.0106220604554696,1.02182916666349,0.022996232450653,0.0231159807589524,0.0243034942616276,0.0241562188486399,0.0245071642227791,0.0238253542860287,NA,0.0238050981518142
1,17,9609,0,1,0.256,0.0227516864003509,0.01018351806363,1.02024091346554,0.0212884992629751,0.0251119053981828,0.0226769785011044,0.0224514995303041,0.0228736007171205,0.0222437863052754,NA,0.0222236918147027
1,18,10157,0,1,0.265000000000001,0.0204285110264402,0.00941262853354873,1.01804163953779,0.018933547997246,0.0271746392303581,0.0203541544566569,0.020091090765444,0.0204743858085185,0.020062142057432,NA,0.0200421142592066
1,19,10704,0,1,0.289,0.0189972861400375,0.00906284597973461,1.01661354628524,0.017408055768613,0.0294545029396045,0.0189237024401511,0.0187752326228306,0.0191096738684966,0.0187710203794785,NA,0.0187511756047645
1,20,11256,0,1,0.277,0.016801511513514,0.00813297242832736,1.01463541099732,0.0152951412774924,0.0320517103153394,0.0167284186832921,0.0165497464678777,0.0169242983283422,0.0163542590105202,NA,0.0163345342924388
1,21,11820,0,1,0.428,0.0156482272933909,0.00776346156832784,1.01352605589604,0.0141612513860867,0.0348911010154997,0.0155758435670679,0.0154287229277997,0.0157152910902722,0.0153295681593765,NA,0.0153100170420013
1,22,12365,0,1,0.307,0.0143259457839408,0.00720003975847571,1.01233310804612,0.0128081755146802,0.0380394842330305,0.0142536283085759,0.0141810992008684,0.0142712553221382,0.0142564296965316,NA,0.0142369383794349
1,23,12929,0,1,0.315,0.0129599366907608,0.00666663465067034,1.01106917245774,0.0115796049371346,0.0411962185996793,0.012888622012711,0.0130028045136873,0.0130891623569132,0.0130281935570207,NA,0.0130089609379737
1,24,13474,0,1,0.32,0.0122154592997966,0.00645835261418006,1.01032672346523,0.0107903830999241,0.0451045563869588,0.0121448575823391,0.0122218819873203,0.0123051689556614,0.0124460117100447,NA,0.0124270174098124
1,25,14010,0,1,0.326,0.0115299497867825,0.00614166541671209,1.00972022782955,0.0100938927339634,0.0485201763762694,0.0114593219066202,0.0115689529440166,0.0115450911001202,0.0115819315625193,NA,0.0115629322344757
1,26,14565,0,1,0.341,0.0108505173891614,0.00589622429856804,1.00907383557726,0.00944872816701865,0.0524786210582576,0.01078061403989,0.0109762290513801,0.0109218024710981,0.0110288076726935,NA,0.0110099363495583
1,27,15104,0,1,0.36,0.0101555797427995,0.00561519131816161,1.00843039491708,0.00879126448513438,0.0571719668626403,0.010086252214903,0.01030205811975,0.0102593673771182,0.0102431342796913,NA,0.0102244675927395
1,28,15652,0,1,0.349,0.00961972152743973,0.0054120103795222,1.00792358414632,0.0082593414563908,0.0629175574559059,0.00955089329712082,0.00973610759244862,0.00972239257822791,0.0097954674551954,NA,0.00977690437434121
